,2025-06-30,2025-03-31,2024-12-31,2024-09-30,2024-06-30
Free Cash Flow,-189300000.0,-321700000.0,942200000.0,42500000.0,-163900000.0
Repurchase Of Capital Stock,0.0,-14500000.0,,,0.0
Repayment Of Debt,-348300000.0,-1101100000.0,-392600000.0,-317500000.0,-188500000.0
Issuance Of Debt,463000000.0,683200000.0,214500000.0,321700000.0,183100000.0
Capital Expenditure,-113200000.0,-137900000.0,-105000000.0,-129500000.0,-123700000.0
End Cash Position,654000000.0,813000000.0,1563000000.0,825000000.0,716500000.0
Beginning Cash Position,813000000.0,1563000000.0,825000000.0,716500000.0,912700000.0
Effect Of Exchange Rate Changes,-1000000.0,300000.0,7400000.0,-4000000.0,-4600000.0
Changes In Cash,-158000000.0,-750300000.0,730600000.0,112500000.0,-191600000.0
Financing Cash Flow,105600000.0,-432400000.0,-178100000.0,67400000.0,-5400000.0
Cash Flow From Continuing Financing Activities,105600000.0,-432400000.0,-178100000.0,67400000.0,-5400000.0
Net Other Financing Charges,,,0.0,63200000.0,
Cash Dividends Paid,-9100000.0,,,,0.0
Net Common Stock Issuance,0.0,-14500000.0,,,0.0
Common Stock Payments,0.0,-14500000.0,,,0.0
Net Issuance Payments Of Debt,114700000.0,-417900000.0,-178100000.0,4200000.0,-5400000.0
Net Long Term Debt Issuance,114700000.0,-417900000.0,-178100000.0,4200000.0,-5400000.0
Long Term Debt Payments,-348300000.0,-1101100000.0,-392600000.0,-317500000.0,-188500000.0
Long Term Debt Issuance,463000000.0,683200000.0,214500000.0,321700000.0,183100000.0
Investing Cash Flow,-187400000.0,-134100000.0,-138500000.0,-126900000.0,-146000000.0
Cash Flow From Continuing Investing Activities,-187400000.0,-134100000.0,-138500000.0,-127000000.0,-146000000.0
Net Other Investing Changes,,,0.0,100000.0,
Dividends Received Cfi,0.0,0.0,100000.0,100000.0,0.0
Net Investment Purchase And Sale,-82600000.0,1400000.0,-41800000.0,1300000.0,-20700000.0
Sale Of Investment,56900000.0,4000000.0,,1300000.0,26400000.0
Purchase Of Investment,-78600000.0,-2600000.0,,,-47100000.0
Net Business Purchase And Sale,-100000.0,0.0,-4000000.0,1100000.0,-1600000.0
Sale Of Business,,,,1100000.0,
Purchase Of Business,-100000.0,0.0,-4000000.0,1100000.0,-1600000.0
Net Intangibles Purchase And Sale,-72500000.0,-59500000.0,-73900000.0,-61000000.0,-65800000.0
Purchase Of Intangibles,-72500000.0,-59500000.0,-73900000.0,-61000000.0,-65800000.0
Net PPE Purchase And Sale,-32200000.0,-76000000.0,-18900000.0,-68500000.0,-57900000.0
Sale Of PPE,8500000.0,2400000.0,12200000.0,0.0,0.0
Purchase Of PPE,-40700000.0,-78400000.0,-31100000.0,-68500000.0,-57900000.0
Operating Cash Flow,-76100000.0,-183800000.0,1047200000.0,172000000.0,-40200000.0
Cash Flow From Continuing Operating Activities,-76100000.0,-183800000.0,1047200000.0,172000000.0,-40200000.0
Taxes Refund Paid,-38100000.0,-11100000.0,,,-35200000.0
Interest Paid Cfo,-6700000.0,-69900000.0,-11700000.0,-71100000.0,-13500000.0
Change In Working Capital,-201600000.0,-156400000.0,884500000.0,-237200000.0,-219600000.0
Change In Other Working Capital,5200000.0,30800000.0,755000000.0,-60100000.0,-72000000.0
Change In Other Current Liabilities,,,,314900000.0,0.0
Change In Other Current Assets,51200000.0,-1700000.0,268200000.0,-382200000.0,13900000.0
Change In Payables And Accrued Expense,76400000.0,363800000.0,-252700000.0,139700000.0,104700000.0
Change In Payable,76400000.0,363800000.0,-252700000.0,139700000.0,104700000.0
Change In Account Payable,29800000.0,177200000.0,-346200000.0,275100000.0,135600000.0
Change In Tax Payable,30300000.0,12900000.0,69400000.0,-136700000.0,8900000.0
Change In Income Tax Payable,30300000.0,12900000.0,69400000.0,-136700000.0,8900000.0
Change In Inventory,-120900000.0,-568200000.0,392600000.0,-97500000.0,-165400000.0
Change In Receivables,-213500000.0,18900000.0,36300000.0,-152000000.0,-100800000.0
Changes In Account Receivables,-108500000.0,72000000.0,-88600000.0,-37700000.0,-34400000.0
Other Non Cash Items,29400000.0,28000000.0,23800000.0,32100000.0,33000000.0
Unrealized Gain Loss On Investment Securities,22700000.0,-7300000.0,-600000.0,13800000.0,-4000000.0
Provisionand Write Offof Assets,-16400000.0,-5600000.0,22300000.0,47400000.0,12300000.0
Asset Impairment Charge,,,1800000.0,,
Deferred Tax,-22100000.0,-103900000.0,130600000.0,62300000.0,8900000.0
Deferred Income Tax,-22100000.0,-103900000.0,130600000.0,62300000.0,8900000.0
Depreciation Amortization Depletion,59600000.0,50600000.0,74000000.0,67700000.0,58100000.0
Depreciation And Amortization,59600000.0,50600000.0,74000000.0,67700000.0,58100000.0
Operating Gains Losses,27900000.0,12000000.0,-14300000.0,25200000.0,17300000.0
Earnings Losses From Equity Investments,1100000.0,2500000.0,700000.0,2700000.0,700000.0
Net Foreign Currency Exchange Gain Loss,14600000.0,7800000.0,-9900000.0,15100000.0,15700000.0
Gain Loss On Sale Of PPE,12200000.0,1700000.0,-5100000.0,7400000.0,900000.0
Net Income From Continuing Operations,69200000.0,79800000.0,38000000.0,181700000.0,102500000.0
