,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31,2024-09-30,2024-06-30
Tax Effect Of Unusual Items,-65370418.378452,-46767340.0,-48459040.6,-53126360.0,-157489020.0,,
Tax Rate For Calcs,0.363254,0.34,0.2738,0.34,0.34,,
Normalized EBITDA,1023424000.0,1292071000.0,930771000.0,1539854000.0,1505715000.0,,
Total Unusual Items,-179958000.0,-137551000.0,-176987000.0,-156254000.0,-463203000.0,,
Total Unusual Items Excluding Goodwill,-179958000.0,-137551000.0,-176987000.0,-156254000.0,-463203000.0,,
Net Income From Continuing Operation Net Minority Interest,-83512000.0,87134000.0,-331493000.0,186122000.0,-251963000.0,,
Reconciled Depreciation,311945000.0,409108000.0,413126000.0,428050000.0,445269000.0,,
Reconciled Cost Of Revenue,7055023000.0,6967157000.0,7309151000.0,6522370000.0,6274233000.0,,
EBITDA,843466000.0,1154520000.0,753784000.0,1383600000.0,1042512000.0,,
EBIT,531521000.0,745412000.0,340658000.0,955550000.0,597243000.0,,
Net Interest Income,-527639000.0,-468653000.0,-766567000.0,-511034000.0,-289961000.0,,
Interest Expense,662914000.0,712497000.0,797171000.0,634402000.0,516657000.0,,
Interest Income,144071000.0,216548000.0,123148000.0,131803000.0,214539000.0,,
Normalized Income,31075581.621548,177917660.0,-202965040.6,289249640.0,53750980.0,,
Net Income From Continuing And Discontinued Operation,-83512000.0,87134000.0,-331491000.0,186122000.0,-251963000.0,,
Total Expenses,7449845000.0,7471502000.0,7665177000.0,6995575000.0,6614021000.0,,
Diluted Average Shares,,512552941.0,502259091.0,504923200.0,,507893750.0,508469333.0
Basic Average Shares,,512552941.0,502259091.0,504923200.0,,507893750.0,508469333.0
Diluted EPS,,0.17,-0.66,0.3,,-0.16,-0.75
Basic EPS,,0.17,-0.66,0.3,,-0.16,-0.75
Diluted NI Availto Com Stockholders,-83512000.0,87134000.0,-331491000.0,186122000.0,-251963000.0,,
Net Income Common Stockholders,-83512000.0,87134000.0,-331491000.0,186122000.0,-251963000.0,,
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0,0.0,,
Net Income,-83512000.0,87134000.0,-331491000.0,186122000.0,-251963000.0,,
Minority Interests,152000.0,25000.0,20000.0,225000.0,382000.0,,
Net Income Including Noncontrolling Interests,-83664000.0,87109000.0,-331511000.0,185897000.0,-252345000.0,,
Net Income Discontinuous Operations,0.0,0.0,2000.0,0.0,0.0,,
Net Income Continuous Operations,-83664000.0,87109000.0,-331513000.0,185897000.0,-252345000.0,,
Tax Provision,-47729000.0,-54194000.0,-125000000.0,135251000.0,332931000.0,,
Pretax Income,-131393000.0,32915000.0,-456513000.0,321148000.0,80586000.0,,
Special Income Charges,-154936000.0,-95495000.0,-150186000.0,-137898000.0,-494932000.0,,
Other Special Charges,154936000.0,95495000.0,150186000.0,137898000.0,494932000.0,,
Net Non Operating Interest Income Expense,-527639000.0,-468653000.0,-766567000.0,-511034000.0,-289961000.0,,
Total Other Finance Cost,8796000.0,-27296000.0,92544000.0,8435000.0,-12157000.0,,
Interest Expense Non Operating,662914000.0,712497000.0,797171000.0,634402000.0,516657000.0,,
Interest Income Non Operating,144071000.0,216548000.0,123148000.0,131803000.0,214539000.0,,
Operating Income,444201000.0,446623000.0,295438000.0,808879000.0,797267000.0,,
Operating Expense,394822000.0,504345000.0,356026000.0,473205000.0,339788000.0,,
Other Operating Expenses,263432000.0,106206000.0,67490000.0,82794000.0,-154193000.0,,
Depreciation And Amortization In Income Statement,120192000.0,230438000.0,242706000.0,248197000.0,254251000.0,,
Depreciation Income Statement,120192000.0,230438000.0,242706000.0,248197000.0,254251000.0,,
Selling General And Administration,111712000.0,106398000.0,-12880000.0,54078000.0,57812000.0,,
Selling And Marketing Expense,79564000.0,65970000.0,79783000.0,37365000.0,61859000.0,,
General And Administrative Expense,32148000.0,40428000.0,-92663000.0,16713000.0,-4047000.0,,
Gross Profit,839023000.0,950968000.0,651464000.0,1282084000.0,1137055000.0,,
Cost Of Revenue,7055023000.0,6967157000.0,7309151000.0,6522370000.0,6274233000.0,,
Total Revenue,7894046000.0,7918125000.0,7960615000.0,7804454000.0,7411288000.0,,
Operating Revenue,7894046000.0,7918125000.0,7960615000.0,7804454000.0,7411288000.0,,
