,2025-06-30,2025-03-31,2024-12-31,2024-09-30
Tax Effect Of Unusual Items,92289.786311,2739946.2,16364540.0,2073320.0
Tax Rate For Calcs,0.006721,0.1487,0.34,0.34
Normalized EBITDA,1472809000.0,1239582000.0,-569804000.0,1017768000.0
Total Unusual Items,13731000.0,18426000.0,48131000.0,6098000.0
Total Unusual Items Excluding Goodwill,13731000.0,18426000.0,48131000.0,6098000.0
Net Income From Continuing Operation Net Minority Interest,442741000.0,156368000.0,-1532272000.0,86058000.0
Reconciled Depreciation,243626000.0,242180000.0,201963000.0,165028000.0
Reconciled Cost Of Revenue,11472782000.0,9120721000.0,8580212000.0,6726936000.0
EBITDA,1486540000.0,1258008000.0,-521673000.0,1023866000.0
EBIT,1242914000.0,1015828000.0,-723636000.0,858838000.0
Net Interest Income,-920180000.0,-1533378000.0,-614562000.0,-981866000.0
Interest Expense,781543000.0,804452000.0,816349000.0,776329000.0
Normalized Income,429102289.786311,140681946.2,-1564038460.0,82033320.0
Net Income From Continuing And Discontinued Operation,442741000.0,156368000.0,-1532272000.0,86058000.0
Total Expenses,12859085000.0,10475827000.0,9972455000.0,7853444000.0
Diluted Average Shares,1168613736.0,664466486.0,,588310090.0
Basic Average Shares,975178961.0,664466486.0,,588310090.0
Diluted EPS,0.37886,0.235325,,0.14628
Basic EPS,0.45401,0.235325,,0.14628
Diluted NI Availto Com Stockholders,442741000.0,156368000.0,-1532272000.0,86058000.0
Net Income Common Stockholders,442741000.0,156368000.0,-1532272000.0,86058000.0
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0
Net Income,442741000.0,156368000.0,-1532272000.0,86058000.0
Minority Interests,-15529000.0,-28620000.0,34916000.0,-8037000.0
Net Income Including Noncontrolling Interests,458270000.0,184988000.0,-1567188000.0,94095000.0
Net Income Continuous Operations,458270000.0,184988000.0,-1567188000.0,94095000.0
Tax Provision,3101000.0,26388000.0,27203000.0,-11586000.0
Pretax Income,461371000.0,211376000.0,-1539985000.0,82509000.0
Special Income Charges,13731000.0,18426000.0,48131000.0,6098000.0
Other Special Charges,-13731000.0,-18426000.0,,-6098000.0
Net Non Operating Interest Income Expense,-920180000.0,-1533378000.0,-614562000.0,-981866000.0
Total Other Finance Cost,138637000.0,728926000.0,-201787000.0,205537000.0
Interest Expense Non Operating,781543000.0,804452000.0,816349000.0,776329000.0
Operating Income,1058830000.0,720324000.0,741763000.0,647980000.0
Operating Expense,1386303000.0,1355106000.0,1392243000.0,1126508000.0
Selling General And Administration,1407655000.0,1384233000.0,1418672000.0,1141608000.0
Selling And Marketing Expense,844444000.0,852985000.0,836385000.0,693464000.0
General And Administrative Expense,563211000.0,531248000.0,582287000.0,448144000.0
Gross Profit,2445133000.0,2075430000.0,2134006000.0,1774488000.0
Cost Of Revenue,11472782000.0,9120721000.0,8580212000.0,6726936000.0
Total Revenue,13917915000.0,11196151000.0,10714218000.0,8501424000.0
Operating Revenue,13917915000.0,11196151000.0,10714218000.0,8501424000.0
