,2026-03-31,2025-12-31,2025-06-30,2025-03-31,2024-12-31,2024-09-30
Free Cash Flow,171626000.0,287161000.0,309375000.0,93143000.0,339429000.0,
Repurchase Of Capital Stock,-276618000.0,0.0,0.0,0.0,,
Repayment Of Debt,-10196000.0,34353000.0,0.0,0.0,0.0,
Issuance Of Debt,2991484000.0,0.0,,0.0,0.0,
Capital Expenditure,-137981000.0,-57722000.0,-71954000.0,-73766000.0,-62981000.0,
End Cash Position,1432828000.0,1785703000.0,2094240000.0,1943040000.0,1942162000.0,
Beginning Cash Position,1785703000.0,2005729000.0,1943040000.0,1942162000.0,2154825000.0,
Changes In Cash,-352875000.0,-220026000.0,151200000.0,878000.0,-212663000.0,
Financing Cash Flow,2691960000.0,-161296000.0,-104332000.0,-15134000.0,-359003000.0,
Cash Dividends Paid,,-187823000.0,,,-128726000.0,
Net Common Stock Issuance,-276618000.0,0.0,0.0,0.0,-216283000.0,
Common Stock Payments,-276618000.0,0.0,0.0,0.0,,
Net Issuance Payments Of Debt,2981288000.0,34353000.0,0.0,0.0,0.0,
Net Long Term Debt Issuance,2981288000.0,34353000.0,0.0,0.0,0.0,
Long Term Debt Payments,-10196000.0,34353000.0,0.0,0.0,0.0,
Long Term Debt Issuance,2991484000.0,0.0,,0.0,0.0,
Investing Cash Flow,-3354442000.0,-403613000.0,-125797000.0,-150897000.0,-256070000.0,
Net Other Investing Changes,,-577233000.0,,,,
Dividends Received Cfi,,19895000.0,,,0.0,0.0
Net Investment Purchase And Sale,-33695000.0,-13325000.0,-2438000.0,-21389000.0,-5616000.0,
Net Business Purchase And Sale,-3184810000.0,210730000.0,-55811000.0,-60100000.0,-199917000.0,
Sale Of Business,,0.0,0.0,0.0,-1365000.0,22030000.0
Purchase Of Business,-3187497000.0,210730000.0,-26683000.0,-87484000.0,-198552000.0,
Net Intangibles Purchase And Sale,-40153000.0,-21533000.0,-30051000.0,-21955000.0,-24238000.0,
Purchase Of Intangibles,-40153000.0,-21533000.0,-30051000.0,-21955000.0,-24238000.0,
Net PPE Purchase And Sale,-96387000.0,-29674000.0,-40796000.0,-50369000.0,-37067000.0,
Sale Of PPE,1441000.0,6515000.0,1107000.0,1442000.0,1676000.0,
Purchase Of PPE,-97828000.0,-36189000.0,-41903000.0,-51811000.0,-38743000.0,
Operating Cash Flow,309607000.0,344883000.0,381329000.0,166909000.0,402410000.0,
Taxes Refund Paid,-51349000.0,-15037000.0,-28192000.0,-72813000.0,-26960000.0,
Interest Paid Cfo,-121245000.0,-3270000.0,-2269000.0,-80207000.0,-1531000.0,
Change In Working Capital,-111989000.0,-43692000.0,-60429000.0,-112369000.0,29758000.0,
Change In Other Current Liabilities,-8294000.0,-72960000.0,-154982000.0,7984000.0,-33440000.0,
Change In Other Current Assets,2424000.0,46209000.0,-25294000.0,-28325000.0,28444000.0,
Change In Payable,19462000.0,-13278000.0,11127000.0,22400000.0,44737000.0,
Change In Receivables,-125581000.0,-3663000.0,108720000.0,-114428000.0,-9983000.0,
Other Non Cash Items,147510000.0,63458000.0,77360000.0,63068000.0,62046000.0,
Stock Based Compensation,27561000.0,26981000.0,14324000.0,12431000.0,4719000.0,
Provisionand Write Offof Assets,9577000.0,5775000.0,7243000.0,24813000.0,26426000.0,
Depreciation And Amortization,102983000.0,72974000.0,92359000.0,82037000.0,81601000.0,
Depreciation,102983000.0,72974000.0,92359000.0,82037000.0,81601000.0,
Net Income From Continuing Operations,283186000.0,229866000.0,264748000.0,236675000.0,205409000.0,
