,2025-12-31,2025-06-30,2025-03-31,2024-12-31,2024-09-30
Tax Effect Of Unusual Items,-124902551.862068,1770362178.238708,3178795547.930097,-5154987644.628007,703952175.167731
Tax Rate For Calcs,0.136296,0.313441,0.362328,0.3953,0.349559
Normalized EBITDA,5727146000.0,6097667000.0,5155811000.0,6220029000.0,6833603000.0
Total Unusual Items,-916404000.0,5648145000.0,8773242000.0,-13040681000.0,2013831000.0
Total Unusual Items Excluding Goodwill,-916404000.0,5648145000.0,8773242000.0,-13040681000.0,2013831000.0
Net Income From Continuing Operation Net Minority Interest,109218000.0,5011953000.0,6340760000.0,-6743658000.0,3224266000.0
Reconciled Depreciation,3071041000.0,2839264000.0,2497422000.0,2809949000.0,2303266000.0
Reconciled Cost Of Revenue,6298824000.0,8608124000.0,5505579000.0,6218402000.0,6847701000.0
EBITDA,4810742000.0,11745812000.0,13929053000.0,-6820652000.0,8847434000.0
EBIT,1739701000.0,8906548000.0,11431631000.0,-9630601000.0,6544168000.0
Net Interest Income,-1331397000.0,-1223180000.0,-1201232000.0,-1256212000.0,-1146069000.0
Interest Expense,1605200000.0,1606439000.0,1476383000.0,1509762000.0,1567007000.0
Interest Income,439811000.0,383259000.0,348428000.0,385706000.0,420938000.0
Normalized Income,900719448.137932,1134170178.238708,746313547.930097,1142035355.371993,1914387175.167731
Net Income From Continuing And Discontinued Operation,109218000.0,5011953000.0,6340760000.0,-6743658000.0,3224266000.0
Total Expenses,10590554000.0,10248746000.0,9153126000.0,11023653000.0,8152819000.0
Total Operating Income As Reported,3545295000.0,,2259035000.0,4415821000.0,4109399000.0
Diluted Average Shares,1235908788.0,1235908788.0,1238661686.0,,1254885828.0
Basic Average Shares,1235908788.0,1235908788.0,1238661686.0,,1251670633.0
Diluted EPS,0.093995,4.055277,5.119041,,2.56937
Basic EPS,0.093995,4.055277,5.119041,,2.57597
Diluted NI Availto Com Stockholders,109218000.0,5011953000.0,6340760000.0,-6743658000.0,3224266000.0
Net Income Common Stockholders,109218000.0,5011953000.0,6340760000.0,-6743658000.0,3224266000.0
Net Income,109218000.0,5011953000.0,6340760000.0,-6743658000.0,3224266000.0
Minority Interests,-6951000.0,,-7418000.0,-7086000.0,-13085000.0
Net Income Including Noncontrolling Interests,116169000.0,5011953000.0,6348178000.0,-6736572000.0,3237351000.0
Net Income Continuous Operations,116169000.0,5011953000.0,6348178000.0,-6736572000.0,3237351000.0
Tax Provision,18332000.0,2288156000.0,3607070000.0,-4403791000.0,1739810000.0
Pretax Income,134501000.0,7300109000.0,9955248000.0,-11140363000.0,4977161000.0
Other Income Expense,-1057266000.0,5476140000.0,8756685000.0,-13037496000.0,2002503000.0
Other Non Operating Income Expenses,,,520000.0,,
Special Income Charges,1162993000.0,,-124203000.0,1259291000.0,
Gain On Sale Of Ppe,-199477000.0,,-19340000.0,-23287000.0,
Other Special Charges,,,104863000.0,,
Earnings From Equity Interest,-140862000.0,-172005000.0,-17077000.0,997000.0,-11328000.0
Gain On Sale Of Security,-2079397000.0,5648145000.0,8897445000.0,-14299972000.0,2013831000.0
Net Non Operating Interest Income Expense,-1331397000.0,-1223180000.0,-1201232000.0,-1256212000.0,-1146069000.0
Total Other Finance Cost,166008000.0,,73277000.0,132156000.0,
Interest Expense Non Operating,1605200000.0,1606439000.0,1476383000.0,1509762000.0,1567007000.0
Interest Income Non Operating,439811000.0,383259000.0,348428000.0,385706000.0,420938000.0
Operating Income,2523164000.0,3047149000.0,2399795000.0,3153345000.0,4120727000.0
Operating Expense,1492102000.0,1640622000.0,1423959000.0,2262936000.0,1305118000.0
Other Operating Expenses,-174812000.0,154906000.0,-7006000.0,424035000.0,7945000.0
Depreciation Amortization Depletion Income Statement,271413000.0,,273834000.0,267634000.0,
Depletion Income Statement,-6917000.0,,2532000.0,-8103000.0,
Depreciation And Amortization In Income Statement,278330000.0,,271302000.0,275737000.0,
Selling General And Administration,1395501000.0,1485716000.0,1157131000.0,1571267000.0,1297173000.0
Selling And Marketing Expense,531642000.0,838250000.0,423667000.0,525764000.0,728319000.0
General And Administrative Expense,863859000.0,647466000.0,733464000.0,1045503000.0,568854000.0
Other Gand A,267479000.0,647466000.0,240269000.0,276281000.0,568854000.0
Salaries And Wages,596380000.0,,493195000.0,769222000.0,
Gross Profit,4015266000.0,4687771000.0,3823754000.0,5416281000.0,5425845000.0
Cost Of Revenue,9098452000.0,8608124000.0,7729167000.0,8760717000.0,6847701000.0
Total Revenue,13113718000.0,13295895000.0,11552921000.0,14176998000.0,12273546000.0
Excise Taxes,626531000.0,,530295000.0,665045000.0,
Operating Revenue,15746020000.0,13295895000.0,13931964000.0,16568155000.0,12273546000.0
