,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31
Tax Effect Of Unusual Items,-277780.0,-31243.414144,4500460.206579,-371960.0,-266900.0
Tax Rate For Calcs,0.34,0.037963,0.084304,0.34,0.34
Normalized EBITDA,34155000.0,34847000.0,-38243000.0,38654000.0,60922000.0
Total Unusual Items,-817000.0,-823000.0,53384000.0,-1094000.0,-785000.0
Total Unusual Items Excluding Goodwill,-817000.0,-823000.0,53384000.0,-1094000.0,-785000.0
Net Income From Continuing Operation Net Minority Interest,-42688000.0,-42143000.0,-46011000.0,-31099000.0,6252000.0
Reconciled Depreciation,34496000.0,34933000.0,34617000.0,34257000.0,34353000.0
Reconciled Cost Of Revenue,512901000.0,469831000.0,319722000.0,449496000.0,470546000.0
EBITDA,33338000.0,34024000.0,15141000.0,37560000.0,60137000.0
EBIT,-1158000.0,-909000.0,-19476000.0,3303000.0,25784000.0
Net Interest Income,-43350000.0,-50169000.0,-40988000.0,-34591000.0,-33423000.0
Interest Expense,36277000.0,42897000.0,30771000.0,29225000.0,28093000.0
Interest Income,6843000.0,4869000.0,570000.0,7514000.0,7553000.0
Normalized Income,-42148780.0,-41351243.414144,-94894539.793421,-30376960.0,6770100.0
Net Income From Continuing And Discontinued Operation,-42688000.0,-42143000.0,-46011000.0,-31099000.0,6252000.0
Total Expenses,746084000.0,690562000.0,509451000.0,658202000.0,693383000.0
Diluted Average Shares,206917263.0,206765774.0,205681717.0,198362864.0,195072711.0
Basic Average Shares,206917263.0,206765774.0,205681717.0,198362864.0,195072711.0
Diluted EPS,-0.206363,-0.20382,-0.2237,-0.15678,0.032296
Basic EPS,-0.206363,-0.20382,-0.2237,-0.15678,0.032296
Diluted NI Availto Com Stockholders,-42688000.0,-42143000.0,-46011000.0,-31099000.0,6252000.0
Net Income Common Stockholders,-42688000.0,-42143000.0,-46011000.0,-31099000.0,6252000.0
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0,0.0
Net Income,-42688000.0,-42143000.0,-46011000.0,-31099000.0,6252000.0
Net Income Including Noncontrolling Interests,-42688000.0,-42143000.0,-46011000.0,-31099000.0,6252000.0
Net Income Continuous Operations,-42688000.0,-42143000.0,-46011000.0,-31099000.0,6252000.0
Tax Provision,5253000.0,-1663000.0,-4236000.0,5177000.0,-8561000.0
Pretax Income,-37435000.0,-43806000.0,-50247000.0,-25922000.0,-2309000.0
Special Income Charges,-817000.0,-823000.0,-766000.0,-1094000.0,-785000.0
Other Special Charges,64000.0,-15000.0,,310000.0,-73000.0
Restructuring And Mergern Acquisition,753000.0,838000.0,766000.0,784000.0,858000.0
Net Non Operating Interest Income Expense,-43350000.0,-50169000.0,-40988000.0,-34591000.0,-33423000.0
Total Other Finance Cost,13916000.0,12141000.0,10787000.0,12880000.0,12883000.0
Interest Expense Non Operating,36277000.0,42897000.0,30771000.0,29225000.0,28093000.0
Interest Income Non Operating,6843000.0,4869000.0,570000.0,7514000.0,7553000.0
Operating Income,7991000.0,4792000.0,-60689000.0,13322000.0,34055000.0
Operating Expense,233183000.0,220731000.0,189729000.0,208706000.0,222837000.0
Other Operating Expenses,5086000.0,-3924000.0,2917000.0,-4495000.0,-46974000.0
Selling General And Administration,228679000.0,225124000.0,190409000.0,218551000.0,223950000.0
Selling And Marketing Expense,159521000.0,154375000.0,151187000.0,149430000.0,153270000.0
General And Administrative Expense,69158000.0,70749000.0,39222000.0,69121000.0,70680000.0
Gross Profit,241174000.0,225523000.0,129040000.0,222028000.0,256892000.0
Cost Of Revenue,512901000.0,469831000.0,319722000.0,449496000.0,470546000.0
Total Revenue,754075000.0,695354000.0,448762000.0,671524000.0,727438000.0
Operating Revenue,754075000.0,695354000.0,448762000.0,671524000.0,727438000.0
