,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31,2024-09-30,2024-06-30
Ordinary Shares Number,651072697.0,651072697.0,651072697.0,651072697.0,651072697.0,,
Share Issued,651072697.0,651072697.0,651072697.0,651072697.0,651072697.0,,
Net Debt,3007295000.0,3089256000.0,3170903000.0,3208566000.0,3487413000.0,,
Total Debt,4494929000.0,4374226000.0,3929242000.0,4043072000.0,4813104000.0,,
Tangible Book Value,3502905000.0,3751589000.0,3581000000.0,3501782000.0,3012525000.0,,
Invested Capital,8567418000.0,8711178000.0,8112402000.0,8142385000.0,8413712000.0,,
Working Capital,2038978000.0,2318322000.0,1946504000.0,1816802000.0,2215912000.0,,
Net Tangible Assets,3502905000.0,3751589000.0,3581000000.0,3501782000.0,3012525000.0,,
Capital Lease Obligations,219399000.0,184847000.0,178023000.0,181348000.0,183726000.0,,
Common Stock Equity,4291888000.0,4521799000.0,4361183000.0,4280661000.0,3784334000.0,,
Total Capitalization,8431225000.0,8589975000.0,8007610000.0,8047165000.0,8296423000.0,,
Total Equity Gross Minority Interest,4514508000.0,4729060000.0,4580469000.0,4508077000.0,4011554000.0,,
Minority Interest,222620000.0,207261000.0,219286000.0,227416000.0,227220000.0,,
Stockholders Equity,4291888000.0,4521799000.0,4361183000.0,4280661000.0,3784334000.0,,
Other Equity Interest,-310447000.0,-302461000.0,-359519000.0,-534364000.0,-725708000.0,,
Retained Earnings,,314218000.0,210660000.0,-96065000.0,-401048000.0,-334688000.0,
Capital Stock,4510042000.0,4510042000.0,4510042000.0,4911090000.0,4911090000.0,,
Common Stock,4510042000.0,4510042000.0,4510042000.0,4911090000.0,4911090000.0,,
Total Liabilities Net Minority Interest,9451509000.0,9147692000.0,8758952000.0,8851688000.0,9821466000.0,,
Total Non Current Liabilities Net Minority Interest,7022153000.0,6862807000.0,6505078000.0,6483207000.0,7475487000.0,,
Other Non Current Liabilities,1075281000.0,1004441000.0,1015217000.0,1016302000.0,1005137000.0,,
Derivative Product Liabilities,764812000.0,738300000.0,828747000.0,760827000.0,1046737000.0,,
Tradeand Other Payables Non Current,64488000.0,60719000.0,58505000.0,57446000.0,72345000.0,,
Non Current Deferred Taxes Liabilities,267685000.0,16854000.0,19910000.0,20968000.0,16403000.0,,
Long Term Debt And Capital Lease Obligation,4308296000.0,4216279000.0,3790701000.0,3906357000.0,4653424000.0,,
Long Term Capital Lease Obligation,168959000.0,148103000.0,144274000.0,139853000.0,141335000.0,,
Long Term Debt,4139337000.0,4068176000.0,3646427000.0,3766504000.0,4512089000.0,,
Long Term Provisions,541591000.0,826214000.0,791998000.0,721307000.0,681441000.0,,
Current Liabilities,2429356000.0,2284885000.0,2253874000.0,2368481000.0,2345979000.0,,
Other Current Liabilities,194052000.0,231024000.0,207748000.0,188724000.0,125084000.0,,
Current Debt And Capital Lease Obligation,186633000.0,157947000.0,138541000.0,136715000.0,159680000.0,,
Current Capital Lease Obligation,50440000.0,36744000.0,33749000.0,41495000.0,42391000.0,,
Current Debt,136193000.0,121203000.0,104792000.0,95220000.0,117289000.0,,
Current Provisions,209536000.0,180074000.0,179057000.0,213736000.0,167350000.0,,
Payables,1411294000.0,1377426000.0,1404809000.0,1469680000.0,1339819000.0,,
Dividends Payable,47283000.0,40040000.0,48323000.0,29437000.0,,,58831000.0
Total Tax Payable,59584000.0,57283000.0,46663000.0,41683000.0,37358000.0,,
Accounts Payable,1304427000.0,1280103000.0,1309823000.0,1398560000.0,1302461000.0,,
Total Assets,13966017000.0,13876752000.0,13339421000.0,13359765000.0,13833020000.0,,
Total Non Current Assets,9497683000.0,9273545000.0,9139043000.0,9174482000.0,9271129000.0,,
Other Non Current Assets,54262000.0,5552000.0,1617000.0,6457000.0,14419000.0,,
Non Current Deferred Taxes Assets,563555000.0,461657000.0,551567000.0,653494000.0,875022000.0,,
Financial Assets,401817000.0,421519000.0,295508000.0,173618000.0,131018000.0,,
Other Investments,44000.0,44000.0,44000.0,44000.0,44000.0,,
Investmentin Financial Assets,52087000.0,,,,,,
Long Term Equity Investment,180081000.0,176249000.0,140728000.0,228522000.0,196185000.0,,
Investmentsin Associatesat Cost,180081000.0,176249000.0,140728000.0,228522000.0,196185000.0,,
Goodwill And Other Intangible Assets,788983000.0,770210000.0,780183000.0,778879000.0,771809000.0,,
Other Intangible Assets,563199000.0,544426000.0,554399000.0,553095000.0,546025000.0,,
Goodwill,225784000.0,225784000.0,225784000.0,225784000.0,225784000.0,,
Net PPE,6775030000.0,6756593000.0,6666739000.0,6599973000.0,6562698000.0,,
Accumulated Depreciation,-9184753000.0,-8821362000.0,-8685222000.0,-8593242000.0,-7528409000.0,,
Gross PPE,15959783000.0,15577955000.0,15351961000.0,15193215000.0,14091107000.0,,
Construction In Progress,1049332000.0,1125367000.0,1123398000.0,1018798000.0,1006905000.0,,
Other Properties,1371652000.0,1152473000.0,1124054000.0,1098896000.0,1137972000.0,,
Machinery Furniture Equipment,9530265000.0,9323076000.0,9156436000.0,9146184000.0,8514814000.0,,
Buildings And Improvements,3451376000.0,3418739000.0,3389832000.0,3376629000.0,2913487000.0,,
Land And Improvements,352232000.0,353219000.0,353160000.0,347627000.0,336561000.0,,
Properties,204926000.0,205081000.0,205081000.0,205081000.0,181368000.0,,
Current Assets,4468334000.0,4603207000.0,4200378000.0,4185283000.0,4561891000.0,,
Other Current Assets,83674000.0,92335000.0,49083000.0,53447000.0,72446000.0,,
Hedging Assets Current,144522000.0,154148000.0,104270000.0,57013000.0,47607000.0,,
Assets Held For Sale Current,,,,,,110712000.0,113288000.0
Inventory,2046103000.0,2232482000.0,2353614000.0,2306431000.0,2162597000.0,,
Inventories Adjustments Allowances,-48305000.0,-51438000.0,-48966000.0,-51027000.0,-44584000.0,,
Other Inventories,67740000.0,55291000.0,112852000.0,102001000.0,59259000.0,,
Finished Goods,444706000.0,499147000.0,606534000.0,532432000.0,575665000.0,,
Work In Process,996445000.0,1054316000.0,1104940000.0,1038263000.0,988276000.0,,
Raw Materials,585517000.0,675166000.0,578254000.0,684762000.0,583981000.0,,
Other Receivables,10496000.0,25439000.0,63598000.0,10841000.0,10840000.0,,
Taxes Receivable,225922000.0,245405000.0,286895000.0,260512000.0,247779000.0,,
Accounts Receivable,632225000.0,644585000.0,669568000.0,639345000.0,493535000.0,,
Allowance For Doubtful Accounts Receivable,-29348000.0,-22834000.0,-20837000.0,-21600000.0,-29834000.0,,
Gross Accounts Receivable,661573000.0,667419000.0,690405000.0,660945000.0,523369000.0,,
Cash Cash Equivalents And Short Term Investments,1325392000.0,1208813000.0,673350000.0,857694000.0,1527087000.0,,
Other Short Term Investments,57157000.0,108690000.0,93034000.0,204536000.0,385122000.0,,
Cash And Cash Equivalents,1268235000.0,1100123000.0,580316000.0,653158000.0,1141965000.0,,
Cash Equivalents,852363000.0,923267000.0,441986000.0,520367000.0,518157000.0,,
Cash Financial,415872000.0,176856000.0,138330000.0,132791000.0,623808000.0,,
