,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31
Free Cash Flow,109088000.0,-70781000.0,340734000.0,-229977000.0,93673000.0
Repayment Of Debt,-192784000.0,-118069000.0,-49631000.0,-35995000.0,-36849000.0
Issuance Of Debt,216113000.0,180510000.0,44999000.0,0.0,-1107000.0
Issuance Of Capital Stock,0.0,0.0,0.0,23807000.0,0.0
Capital Expenditure,-2793000.0,,-22952000.0,-2447000.0,-1638000.0
End Cash Position,438289000.0,379355000.0,478816000.0,169000000.0,489905000.0
Beginning Cash Position,379355000.0,478816000.0,169000000.0,489905000.0,482316000.0
Changes In Cash,58934000.0,-99461000.0,309816000.0,-320905000.0,7589000.0
Financing Cash Flow,-32994000.0,8871000.0,-55891000.0,-83413000.0,-85664000.0
Interest Paid Cff,-23475000.0,-20940000.0,-18699000.0,-17624000.0,-16526000.0
Cash Dividends Paid,0.0,0.0,0.0,-21580000.0,0.0
Common Stock Dividend Paid,0.0,0.0,0.0,-21580000.0,0.0
Net Common Stock Issuance,0.0,0.0,0.0,23807000.0,0.0
Common Stock Issuance,0.0,0.0,0.0,23807000.0,0.0
Net Issuance Payments Of Debt,23329000.0,62441000.0,-4632000.0,-35995000.0,-37956000.0
Net Long Term Debt Issuance,23329000.0,62441000.0,-4632000.0,-35995000.0,-37956000.0
Long Term Debt Payments,-192784000.0,-118069000.0,-49631000.0,-35995000.0,-36849000.0
Long Term Debt Issuance,216113000.0,180510000.0,44999000.0,0.0,-1107000.0
Investing Cash Flow,-19953000.0,-18684000.0,2021000.0,-9962000.0,-2058000.0
Net Other Investing Changes,-7098000.0,,,-9416000.0,-7671000.0
Dividends Received Cfi,0.0,,,,
Net Investment Purchase And Sale,-10062000.0,-5548000.0,15557000.0,1574000.0,7181000.0
Net Intangibles Purchase And Sale,-2793000.0,-2254000.0,-1831000.0,-2447000.0,-1638000.0
Purchase Of Intangibles,-2793000.0,-2254000.0,-1831000.0,-2447000.0,-1638000.0
Net PPE Purchase And Sale,0.0,21121000.0,-21121000.0,327000.0,70000.0
Sale Of PPE,0.0,0.0,0.0,327000.0,70000.0
Operating Cash Flow,111881000.0,-89648000.0,363686000.0,-227530000.0,95311000.0
Taxes Refund Paid,0.0,-3491000.0,-1438000.0,-1086000.0,-1522000.0
Change In Working Capital,75882000.0,-123421000.0,335660000.0,-272456000.0,36327000.0
Change In Other Current Liabilities,-34613000.0,-40839000.0,348619000.0,-59712000.0,-46022000.0
Change In Other Current Assets,38047000.0,39167000.0,6271000.0,17638000.0,8745000.0
Change In Payable,166864000.0,-30426000.0,5229000.0,-144483000.0,113464000.0
Change In Inventory,6727000.0,-319000.0,-36410000.0,9716000.0,39000.0
Change In Receivables,-101143000.0,-91004000.0,11951000.0,-95615000.0,-39899000.0
Other Non Cash Items,33219000.0,34303000.0,29135000.0,25870000.0,29751000.0
Stock Based Compensation,45000.0,35000.0,35000.0,35000.0,314000.0
Provisionand Write Offof Assets,7204000.0,8089000.0,11565000.0,13183000.0,239000.0
Deferred Tax,3660000.0,2062000.0,123000.0,3456000.0,-10330000.0
Depreciation And Amortization,34496000.0,34933000.0,34617000.0,34257000.0,34353000.0
Depreciation,34496000.0,34933000.0,34617000.0,34257000.0,34353000.0
Gain Loss On Sale Of PPE,64000.0,-15000.0,0.0,310000.0,-73000.0
Net Income From Continuing Operations,-42688000.0,-42143000.0,-46011000.0,-31099000.0,6252000.0
