,2025-12-31,2025-06-30,2025-03-31,2024-12-31,2024-09-30
Free Cash Flow,67594000.0,-124025000.0,39541000.0,143616000.0,147268000.0
Repurchase Of Capital Stock,-16492000.0,0.0,0.0,-3236000.0,-17630000.0
Repayment Of Debt,-414579000.0,-501282000.0,-7578000.0,-69122000.0,-17583000.0
Issuance Of Debt,432682000.0,827276000.0,7532000.0,3395000.0,16511000.0
Issuance Of Capital Stock,140000000.0,0.0,124100000.0,0.0,0.0
Capital Expenditure,-118968000.0,-43425000.0,-27622000.0,-38649000.0,-21839000.0
End Cash Position,185757000.0,243754000.0,116272000.0,149126000.0,169595000.0
Beginning Cash Position,106253000.0,116272000.0,149126000.0,169595000.0,108208000.0
Changes In Cash,79504000.0,127482000.0,-32854000.0,-20469000.0,61387000.0
Financing Cash Flow,11992000.0,250896000.0,-75385000.0,-163515000.0,-88581000.0
Cash Dividends Paid,-51001000.0,-10000.0,-125357000.0,-21898000.0,-12000.0
Common Stock Dividend Paid,,-10000.0,-125357000.0,,
Net Common Stock Issuance,123508000.0,0.0,124100000.0,-3236000.0,-17630000.0
Common Stock Payments,-16492000.0,0.0,0.0,-3236000.0,-17630000.0
Common Stock Issuance,140000000.0,0.0,124100000.0,0.0,0.0
Net Issuance Payments Of Debt,18103000.0,325994000.0,-46000.0,-65727000.0,-1072000.0
Net Long Term Debt Issuance,18103000.0,325994000.0,-46000.0,-65727000.0,-1072000.0
Long Term Debt Payments,-414579000.0,-501282000.0,-7578000.0,-69122000.0,-17583000.0
Long Term Debt Issuance,432682000.0,827276000.0,7532000.0,3395000.0,16511000.0
Investing Cash Flow,-119050000.0,-42814000.0,-24632000.0,-39219000.0,-19139000.0
Dividends Received Cfi,0.0,0.0,3282000.0,-7136000.0,3568000.0
Net Investment Purchase And Sale,-82000.0,611000.0,-292000.0,6566000.0,-868000.0
Net Intangibles Purchase And Sale,-25999000.0,-7946000.0,-2732000.0,-9176000.0,-4896000.0
Purchase Of Intangibles,-25999000.0,-7946000.0,-2732000.0,-9176000.0,-4896000.0
Net PPE Purchase And Sale,-92969000.0,-35479000.0,-24890000.0,-29473000.0,-16943000.0
Purchase Of PPE,-92969000.0,-35479000.0,-24890000.0,-29473000.0,-16943000.0
Operating Cash Flow,186562000.0,-80600000.0,67163000.0,182265000.0,169107000.0
Interest Paid Cfo,-155536000.0,-126472000.0,-82691000.0,-96678000.0,-83397000.0
Change In Working Capital,8866000.0,-224649000.0,-68645000.0,50542000.0,-22216000.0
Change In Accrued Expense,-61605000.0,28925000.0,41218000.0,-50660000.0,27290000.0
Change In Payable,533578000.0,294872000.0,-303562000.0,322152000.0,15788000.0
Change In Prepaid Assets,9711000.0,4819000.0,-27971000.0,8746000.0,7140000.0
Change In Inventory,-334575000.0,-134685000.0,269646000.0,-370271000.0,-167820000.0
Change In Receivables,-100839000.0,-418580000.0,-47976000.0,140575000.0,114196000.0
Other Non Cash Items,114561000.0,117483000.0,90491000.0,90996000.0,96527000.0
Provisionand Write Offof Assets,23832000.0,-23361000.0,16587000.0,-10419000.0,11771000.0
Deferred Tax,-59424000.0,-5494000.0,-20337000.0,-58054000.0,-671000.0
Depreciation And Amortization,134854000.0,130495000.0,128494000.0,131750000.0,128738000.0
Depreciation,134854000.0,130495000.0,128494000.0,131750000.0,128738000.0
Gain Loss On Investment Securities,-3487000.0,4519000.0,14104000.0,-21135000.0,40000.0
Net Foreign Currency Exchange Gain Loss,6283000.0,-6424000.0,-13561000.0,24101000.0,-2230000.0
Net Income From Continuing Operations,129510000.0,50343000.0,5095000.0,66620000.0,40970000.0
