,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31,2024-09-30,2024-06-30
Tax Effect Of Unusual Items,68045900.0,-38642020.0,0.0,-47279720.0,-273896180.0,,
Tax Rate For Calcs,0.34,0.34,0.178535,0.34,0.34,,
Normalized EBITDA,270819000.0,579174000.0,697721000.0,623255000.0,931445000.0,,
Total Unusual Items,200135000.0,-113653000.0,,-139058000.0,-805577000.0,-94441000.0,
Total Unusual Items Excluding Goodwill,200135000.0,-113653000.0,,-139058000.0,-805577000.0,-94441000.0,
Net Income From Continuing Operation Net Minority Interest,185926000.0,-118983000.0,365298000.0,96739000.0,54500000.0,,
Reconciled Depreciation,239501000.0,240394000.0,163674000.0,170363000.0,206117000.0,,
Reconciled Cost Of Revenue,2198870000.0,1701193000.0,1862537000.0,1524568000.0,2425220000.0,,
EBITDA,470954000.0,465521000.0,697721000.0,484197000.0,125868000.0,,
EBIT,231453000.0,225127000.0,534047000.0,313834000.0,-80249000.0,,
Net Interest Income,-187796000.0,-430568000.0,-89356000.0,-71080000.0,-128496000.0,,
Interest Expense,156279000.0,430568000.0,89356000.0,79208000.0,71865000.0,,
Normalized Income,53836900.0,-43972020.0,365298000.0,188517280.0,586180820.0,,
Net Income From Continuing And Discontinued Operation,-321172000.0,-1926103000.0,365298000.0,96739000.0,75710000.0,,
Total Expenses,6199157000.0,4855295000.0,5065278000.0,4249793000.0,6210269000.0,,
Rent Expense Supplemental,28223000.0,,,31742000.0,17787000.0,,
Total Operating Income As Reported,202867000.0,225127000.0,,,-105456000.0,254126000.0,
Diluted Average Shares,,1450487989.0,920146096.0,920205397.0,,920362269.0,1023222408.0
Basic Average Shares,,1450487989.0,920146096.0,920205397.0,,920362269.0,1023222408.0
Diluted EPS,,-1.3279,0.397,0.1051,,0.1463,0.598
Basic EPS,,-1.3279,0.397,0.1051,,0.1463,0.598
Diluted NI Availto Com Stockholders,-321172000.0,-1926103000.0,365298000.0,96739000.0,75710000.0,,
Net Income Common Stockholders,-321172000.0,-1926103000.0,365298000.0,96739000.0,75710000.0,,
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0,0.0,,
Net Income,-321172000.0,-1926103000.0,365298000.0,96739000.0,75710000.0,,
Net Income Including Noncontrolling Interests,-321172000.0,-1926103000.0,365298000.0,96739000.0,75710000.0,,
Net Income Discontinuous Operations,-507098000.0,-1807120000.0,0.0,0.0,21210000.0,,
Net Income Continuous Operations,185926000.0,-118983000.0,365298000.0,96739000.0,54500000.0,,
Tax Provision,-110752000.0,-86458000.0,79393000.0,137887000.0,-206614000.0,,
Pretax Income,75174000.0,-205441000.0,444691000.0,234626000.0,-152114000.0,,
Special Income Charges,183373000.0,-113653000.0,,-176615000.0,-698863000.0,-94441000.0,
Other Special Charges,-47568000.0,,,80036000.0,59111000.0,,
Write Off,-353912000.0,113653000.0,,,-279140000.0,94441000.0,
Restructuring And Mergern Acquisition,218107000.0,,,96579000.0,918892000.0,,
Net Non Operating Interest Income Expense,-187796000.0,-430568000.0,-89356000.0,-71080000.0,-128496000.0,,
Total Other Finance Cost,31517000.0,,,-8128000.0,56631000.0,,
Interest Expense Non Operating,156279000.0,430568000.0,89356000.0,79208000.0,71865000.0,,
Operating Income,-4210000.0,338780000.0,534047000.0,585348000.0,476058000.0,,
Operating Expense,4000287000.0,3154102000.0,3202741000.0,2725225000.0,3785049000.0,,
Other Operating Expenses,872487000.0,80576000.0,229824000.0,166760000.0,147569000.0,,
Depreciation And Amortization In Income Statement,206181000.0,,,151178000.0,187411000.0,,
Depreciation Income Statement,206181000.0,,,151178000.0,187411000.0,,
Research And Development,,,,36568000.0,,,
Selling General And Administration,2213667000.0,3073526000.0,2972917000.0,1589313000.0,2519137000.0,,
Selling And Marketing Expense,1849046000.0,2194388000.0,2159800000.0,1384178000.0,2040169000.0,,
General And Administrative Expense,364621000.0,879138000.0,813117000.0,205135000.0,478968000.0,,
Rent And Landing Fees,28223000.0,,,31742000.0,17787000.0,,
Gross Profit,3996077000.0,3492882000.0,3736788000.0,3310573000.0,4261107000.0,,
Cost Of Revenue,2198870000.0,1701193000.0,1862537000.0,1524568000.0,2425220000.0,,
Total Revenue,6194947000.0,5194075000.0,5599325000.0,4835141000.0,6686327000.0,,
Operating Revenue,6194947000.0,5194075000.0,5599325000.0,4835141000.0,6686327000.0,,
