,2025-09-30,2025-06-30,2025-03-31,2024-12-31,2024-09-30
Tax Effect Of Unusual Items,0.0,0.0,7157592.0,26634829.329046,0.0
Tax Rate For Calcs,0.156,0.242,0.2808,0.220265,0.269
Normalized EBITDA,1042810000.0,1041873000.0,931025000.0,788766000.0,953674000.0
Total Unusual Items,,,25490000.0,120922000.0,
Total Unusual Items Excluding Goodwill,,,25490000.0,120922000.0,
Net Income From Continuing Operation Net Minority Interest,50447000.0,92765000.0,107830000.0,226011000.0,184664000.0
Reconciled Depreciation,273132000.0,257189000.0,243606000.0,165203000.0,195172000.0
Reconciled Cost Of Revenue,788942000.0,657765000.0,601854000.0,-1378237000.0,466220000.0
EBITDA,1042810000.0,1041873000.0,956515000.0,909688000.0,953674000.0
EBIT,769678000.0,784684000.0,712909000.0,744485000.0,758502000.0
Net Interest Income,-562136000.0,-531570000.0,-570964000.0,-458932000.0,-415469000.0
Interest Expense,709914000.0,662372000.0,562970000.0,454629000.0,505846000.0
Interest Income,147778000.0,130802000.0,4360000.0,27382000.0,90377000.0
Normalized Income,50447000.0,92765000.0,89497592.0,131723829.329046,184664000.0
Net Income From Continuing And Discontinued Operation,50447000.0,92765000.0,107830000.0,-117944000.0,175055000.0
Total Expenses,907107000.0,757784000.0,693239000.0,-1563373000.0,552970000.0
Diluted Average Shares,1066086197.0,1056548975.0,1058270315.0,1080533537.0,1090678837.0
Basic Average Shares,1066086197.0,1056548975.0,1058196915.0,1080533537.0,1090678837.0
Diluted EPS,0.04732,0.0878,0.1019,-0.06358,0.160501
Basic EPS,0.04732,0.0878,0.1019,-0.06358,0.160501
Diluted NI Availto Com Stockholders,50447000.0,92765000.0,107830000.0,-117944000.0,175055000.0
Net Income Common Stockholders,50447000.0,92765000.0,107830000.0,-117944000.0,175055000.0
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0,0.0
Net Income,50447000.0,92765000.0,107830000.0,-117944000.0,175055000.0
Net Income Including Noncontrolling Interests,50447000.0,92765000.0,107830000.0,-117944000.0,175055000.0
Net Income Discontinuous Operations,0.0,0.0,0.0,,-9609000.0
Net Income Continuous Operations,50447000.0,92765000.0,107830000.0,226011000.0,184664000.0
Tax Provision,9317000.0,29547000.0,42109000.0,63845000.0,67992000.0
Pretax Income,59764000.0,122312000.0,149939000.0,289856000.0,252656000.0
Net Non Operating Interest Income Expense,-562136000.0,-531570000.0,-570964000.0,-458932000.0,-415469000.0
Total Other Finance Cost,,,12354000.0,31685000.0,
Interest Expense Non Operating,709914000.0,662372000.0,562970000.0,454629000.0,505846000.0
Interest Income Non Operating,147778000.0,130802000.0,4360000.0,27382000.0,90377000.0
Operating Income,621900000.0,653882000.0,638777000.0,677967000.0,668125000.0
Operating Expense,118165000.0,100019000.0,91385000.0,-185136000.0,86750000.0
Other Operating Expenses,21335000.0,36264000.0,29450000.0,21433000.0,27471000.0
Selling General And Administration,96830000.0,78772000.0,61935000.0,-203290000.0,59279000.0
Selling And Marketing Expense,45418000.0,35234000.0,24056000.0,-87392000.0,28828000.0
General And Administrative Expense,51412000.0,43538000.0,37879000.0,-115898000.0,30451000.0
Gross Profit,740065000.0,753901000.0,730162000.0,492831000.0,754875000.0
Cost Of Revenue,788942000.0,657765000.0,601854000.0,-1378237000.0,466220000.0
Total Revenue,1529007000.0,1411666000.0,1332016000.0,-885406000.0,1221095000.0
Operating Revenue,1529007000.0,1411666000.0,1332016000.0,-885406000.0,1221095000.0
