,2026-03-31,2025-12-31,2025-06-30,2025-03-31,2024-12-31
Free Cash Flow,-123218000.0,443634000.0,-4235000.0,54525000.0,580021000.0
Repurchase Of Capital Stock,-6113000.0,0.0,0.0,-36039000.0,-3064000.0
Repayment Of Debt,0.0,-600394000.0,-188182000.0,-40200000.0,-39600000.0
Issuance Of Debt,,300000000.0,,,86816000.0
Capital Expenditure,-161998000.0,-188085000.0,-83357000.0,-134841000.0,-119764000.0
End Cash Position,445144000.0,774521000.0,832715000.0,1192899000.0,1403225000.0
Beginning Cash Position,774521000.0,907266000.0,1192899000.0,1403225000.0,949116000.0
Changes In Cash,-329377000.0,-132745000.0,-360184000.0,-210326000.0,454109000.0
Financing Cash Flow,-206159000.0,-576379000.0,-355956000.0,-264885000.0,-125912000.0
Interest Paid Cff,-58960000.0,-133868000.0,-33041000.0,-56207000.0,-28167000.0
Net Common Stock Issuance,-6113000.0,0.0,0.0,-36039000.0,-3064000.0
Common Stock Payments,-6113000.0,0.0,0.0,-36039000.0,-3064000.0
Net Issuance Payments Of Debt,0.0,-300394000.0,-188182000.0,-40200000.0,47216000.0
Net Long Term Debt Issuance,0.0,-300394000.0,-188182000.0,-40200000.0,47216000.0
Long Term Debt Payments,0.0,-600394000.0,-188182000.0,-40200000.0,-39600000.0
Long Term Debt Issuance,,300000000.0,,,86816000.0
Investing Cash Flow,-161998000.0,-188085000.0,-83350000.0,-134807000.0,-119764000.0
Net Intangibles Purchase And Sale,-45020000.0,-42626000.0,-30897000.0,-42462000.0,-37240000.0
Purchase Of Intangibles,-45020000.0,-42626000.0,-30897000.0,-42462000.0,-37240000.0
Net PPE Purchase And Sale,-116978000.0,-145459000.0,-52453000.0,-92345000.0,-82524000.0
Sale Of PPE,0.0,0.0,7000.0,34000.0,0.0
Purchase Of PPE,-116978000.0,-145459000.0,-52460000.0,-92379000.0,-82524000.0
Operating Cash Flow,38780000.0,631719000.0,79122000.0,189366000.0,699785000.0
Taxes Refund Paid,-36427000.0,-9803000.0,3506000.0,-64551000.0,7309000.0
Change In Working Capital,-239601000.0,77317000.0,-560154000.0,-68886000.0,32811000.0
Change In Other Current Liabilities,-188964000.0,115933000.0,76939000.0,-162668000.0,57333000.0
Change In Other Current Assets,-94221000.0,117029000.0,132709000.0,-139095000.0,16744000.0
Change In Payable,-440712000.0,141892000.0,-304992000.0,-375689000.0,358296000.0
Change In Inventory,-197694000.0,-16873000.0,-8555000.0,-173309000.0,97574000.0
Change In Receivables,689368000.0,-358916000.0,-412213000.0,769484000.0,-525832000.0
Other Non Cash Items,75571000.0,99210000.0,112487000.0,103510000.0,112289000.0
Stock Based Compensation,,,3401000.0,3896000.0,2551000.0
Provisionand Write Offof Assets,28054000.0,68615000.0,86783000.0,31950000.0,80302000.0
Deferred Tax,-1506000.0,-66849000.0,-29282000.0,-7213000.0,-14666000.0
Depreciation And Amortization,188160000.0,184983000.0,177451000.0,177861000.0,175507000.0
Amortization Cash Flow,46327000.0,,,,
Depreciation,141833000.0,325648000.0,177451000.0,177861000.0,175507000.0
Gain Loss On Investment Securities,,,5020000.0,-2051000.0,-23906000.0
Gain Loss On Sale Of PPE,,,3607000.0,9281000.0,11534000.0
Net Income From Continuing Operations,-8369000.0,360999000.0,292194000.0,-3396000.0,306108000.0
