,2025-12-31,2025-06-30,2025-03-31,2024-12-31,2024-09-30
Tax Effect Of Unusual Items,-290612.453542,-15376.732319,1190340.0,3981060.0,-701080.0
Tax Rate For Calcs,0.049265,0.026557,0.34,0.34,0.34
Normalized EBITDA,286158000.0,229111000.0,133843000.0,324514970.0,157565000.0
Total Unusual Items,-5899000.0,-579000.0,3501000.0,11709000.0,
Total Unusual Items Excluding Goodwill,-5899000.0,-579000.0,3501000.0,11709000.0,
Net Income From Continuing Operation Net Minority Interest,177527000.0,151089000.0,115039000.0,299458034.0,107166000.0
Reconciled Depreciation,41402000.0,40825000.0,40820000.0,31380122.0,43446000.0
Reconciled Cost Of Revenue,347982000.0,210814000.0,172402000.0,234735000.0,186190000.0
EBITDA,280259000.0,228532000.0,137344000.0,336223970.0,155503000.0
EBIT,238857000.0,187707000.0,96524000.0,304843848.0,112057000.0
Net Interest Income,-51942000.0,-31423000.0,-23085000.0,-23604000.0,-18562000.0
Interest Expense,52131000.0,32496000.0,25915000.0,23201000.0,20702000.0
Interest Income,233000.0,196000.0,125000.0,,124000.0
Normalized Income,183135387.546458,151652623.267681,112728340.0,291730094.0,108526920.0
Net Income From Continuing And Discontinued Operation,177527000.0,151089000.0,115039000.0,299458034.0,107166000.0
Total Expenses,485315000.0,572510000.0,447246000.0,601430000.0,455879000.0
Rent Expense Supplemental,34406000.0,28125000.0,21093000.0,29171000.0,
Diluted Average Shares,,235162000.0,235064745.0,235063179.0,235240000.0
Basic Average Shares,,235084000.0,235064745.0,235063179.0,235154000.0
Diluted EPS,,0.64249,0.489393,1.273947,0.45556
Basic EPS,,0.6427,0.489393,1.273947,0.45572
Diluted NI Availto Com Stockholders,177527000.0,151089000.0,115039000.0,299458034.0,107166000.0
Net Income Common Stockholders,177527000.0,151089000.0,115039000.0,299458034.0,107166000.0
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0,0.0
Net Income,177527000.0,151089000.0,115039000.0,299458034.0,107166000.0
Net Income Including Noncontrolling Interests,177527000.0,151089000.0,115039000.0,299458034.0,107166000.0
Net Income Continuous Operations,177527000.0,151089000.0,115039000.0,299458034.0,107166000.0
Tax Provision,9199000.0,4122000.0,-44430000.0,-17815186.0,-15811000.0
Pretax Income,186726000.0,155211000.0,70609000.0,281642848.0,91355000.0
Special Income Charges,204000.0,0.0,564000.0,54000.0,
Other Special Charges,,,,304000.0,
Write Off,,,-703000.0,,
Impairment Of Capital Assets,-345000.0,0.0,139000.0,-358000.0,
Net Non Operating Interest Income Expense,-51942000.0,-31423000.0,-23085000.0,-23604000.0,-18562000.0
Total Other Finance Cost,44000.0,-877000.0,-2705000.0,834000.0,
Interest Expense Non Operating,52131000.0,32496000.0,25915000.0,23201000.0,20702000.0
Interest Income Non Operating,233000.0,196000.0,125000.0,,124000.0
Operating Income,244606000.0,188511000.0,89835000.0,311871000.0,107021000.0
Operating Expense,137333000.0,361696000.0,274844000.0,366695000.0,269689000.0
Other Operating Expenses,39439000.0,16437000.0,11400000.0,3665000.0,11644000.0
Depreciation And Amortization In Income Statement,38345000.0,37933000.0,38115000.0,30663000.0,
Depreciation Income Statement,38345000.0,37933000.0,38115000.0,30663000.0,
Selling General And Administration,160361000.0,124307000.0,80996000.0,134394000.0,71828000.0
Selling And Marketing Expense,109858000.0,77354000.0,44663000.0,80403000.0,44337000.0
General And Administrative Expense,50503000.0,46953000.0,36333000.0,53991000.0,27491000.0
Rent And Landing Fees,34406000.0,28125000.0,21093000.0,29171000.0,
Gross Profit,381939000.0,550207000.0,364679000.0,678566000.0,376710000.0
Cost Of Revenue,347982000.0,210814000.0,172402000.0,234735000.0,186190000.0
Total Revenue,729921000.0,761021000.0,537081000.0,913301000.0,562900000.0
Operating Revenue,729921000.0,761021000.0,537081000.0,913301000.0,562900000.0
