,2026-03-31,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31,2024-09-30
Tax Effect Of Unusual Items,-13408800.0,19652309.106213,-16241422.051947,3473627.175539,-2673420.0,,
Tax Rate For Calcs,0.4,0.34,0.34,0.34,0.34,,
Normalized EBITDA,810100000.0,268048903.186754,333391698.079811,224805052.322399,425514000.0,,
Total Unusual Items,-33522000.0,57800909.135921,-47768888.388078,10216550.516291,-7863000.0,,
Total Unusual Items Excluding Goodwill,-33522000.0,57800909.135921,-47768888.388078,10216550.516291,-7863000.0,,
Net Income From Continuing Operation Net Minority Interest,458422000.0,-171661349.018398,65488196.518114,124178859.415478,352923000.0,,
Reconciled Depreciation,370202000.0,316650417.198418,236259653.081971,250311127.412705,265533000.0,,
Reconciled Cost Of Revenue,709053000.0,663678571.731765,512791894.379026,513229831.794797,517192000.0,,
EBITDA,776578000.0,325849812.322676,285622809.691733,235021602.838691,417651000.0,,
EBIT,406376000.0,9199395.124258,49363156.609762,-15289524.574014,152118000.0,,
Net Interest Income,-82047000.0,-57066581.03898,-83315491.952598,-71688984.565987,-53244000.0,,
Interest Expense,80849000.0,51865439.028968,78801434.822619,62582369.467654,53669000.0,,
Interest Income,4119000.0,3505816.414746,3428737.769264,4133980.369978,1219000.0,,
Normalized Income,478535200.0,-209809949.048106,97015662.854245,117435936.074725,358112580.0,,
Net Income From Continuing And Discontinued Operation,458422000.0,-171661349.018398,65488196.518114,124178859.415478,352923000.0,,
Total Expenses,800651000.0,756822482.76964,573673446.391346,601567665.195023,590030000.0,,
Total Operating Income As Reported,466387000.0,,,14174663.407159,179422000.0,,1250724000.0
Diluted Average Shares,814248668.0,,,812260143.0,816361000.0,,838998856.0
Basic Average Shares,810355000.0,,,811746000.0,816361000.0,,835146000.0
Diluted EPS,0.563,,0.080684,0.152881,0.432,,0.194509
Basic EPS,0.566,,0.080758,0.153063,0.432,,0.195407
Diluted NI Availto Com Stockholders,458422000.0,-171661349.018398,65488196.518114,124178859.415478,352923000.0,,
Net Income Common Stockholders,458422000.0,-171661349.018398,65488196.518114,124178859.415478,352923000.0,,
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0,0.0,,
Net Income,458422000.0,-171661349.018398,65488196.518114,124178859.415478,352923000.0,,
Net Income Including Noncontrolling Interests,458422000.0,-171661349.018398,65488196.518114,124178859.415478,352923000.0,,
Net Income Continuous Operations,458422000.0,-171661349.018398,65488196.518114,124178859.415478,352923000.0,,
Tax Provision,-132895000.0,128995305.113688,-94926474.730971,-202050753.457146,-254474000.0,,
Pretax Income,325527000.0,-42666043.904711,-29438278.212857,-77871894.041668,98449000.0,,
Special Income Charges,-847000.0,27030269.765444,0.0,-6528624.074142,-1069000.0,,
Other Special Charges,847000.0,,,,1069000.0,,
Restructuring And Mergern Acquisition,,-189508.783605,0.0,6528624.074142,,-8204995.05667,2836540.230308
Net Non Operating Interest Income Expense,-82047000.0,-57066581.03898,-83315491.952598,-71688984.565987,-53244000.0,,
Total Other Finance Cost,5317000.0,8706958.424758,7942794.899243,13240595.468311,794000.0,,
Interest Expense Non Operating,80849000.0,51865439.028968,78801434.822619,62582369.467654,53669000.0,,
Interest Income Non Operating,4119000.0,3505816.414746,3428737.769264,4133980.369978,1219000.0,,
Operating Income,440999000.0,-40754055.610272,95487633.10609,5538183.675703,163676000.0,,
Operating Expense,91598000.0,93143911.037875,60881552.01232,88337833.400226,72838000.0,,
Other Operating Expenses,62670000.0,62632126.021738,37666159.595846,57531105.192104,43356000.0,,
Depreciation And Amortization In Income Statement,5562000.0,5901669.488375,5688395.590362,6080016.054293,8813000.0,,
Depreciation Income Statement,5562000.0,5901669.488375,5688395.590362,6080016.054293,8813000.0,,
Research And Development,,,,11014000.0,0.0,41085000.0,795000.0
Selling General And Administration,10636000.0,11039980.651663,9683174.638947,8906301.309884,12200000.0,,
General And Administrative Expense,10636000.0,11039980.651663,9683174.638947,8906301.309884,12200000.0,,
Gross Profit,532597000.0,52389855.427603,156369185.11841,93876017.07593,236514000.0,,
Cost Of Revenue,709053000.0,663678571.731765,512791894.379026,513229831.794797,517192000.0,,
Total Revenue,1241650000.0,716068427.159368,669161079.497436,607105848.870726,753706000.0,,
Operating Revenue,1241650000.0,716068427.159368,669161079.497436,607105848.870726,753706000.0,,
