,2025-12-31,2025-06-30,2025-03-31,2024-12-31,2024-09-30
Tax Effect Of Unusual Items,-8570693.799706,-9838682.573906,-5330860.0,-8753972.166686,-13341260.0
Tax Rate For Calcs,0.132319,0.314455,0.34,0.167137,0.34
Normalized EBITDA,698125000.0,651932000.0,302996000.0,658671000.0,379743000.0
Total Unusual Items,-64773000.0,-31288000.0,-15679000.0,-52376000.0,-39239000.0
Total Unusual Items Excluding Goodwill,-64773000.0,-31288000.0,-15679000.0,-52376000.0,-39239000.0
Net Income From Continuing Operation Net Minority Interest,313232000.0,200313000.0,4074000.0,254946000.0,42819000.0
Reconciled Depreciation,184983000.0,177451000.0,177861000.0,175507000.0,175631000.0
Reconciled Cost Of Revenue,1083901000.0,891586000.0,740084000.0,1150217000.0,821302000.0
EBITDA,633352000.0,620644000.0,287317000.0,606295000.0,340504000.0
EBIT,448369000.0,443193000.0,109456000.0,430788000.0,164873000.0
Net Interest Income,-138193000.0,-92349000.0,-89086000.0,-98257000.0,-97249000.0
Interest Expense,87370000.0,150999000.0,112852000.0,124680000.0,129044000.0
Interest Income,25147000.0,58650000.0,46015000.0,-112233000.0,31795000.0
Normalized Income,369434306.200294,221762317.426094,14422140.0,298568027.833314,68716740.0
Net Income From Continuing And Discontinued Operation,313232000.0,200313000.0,4074000.0,254946000.0,42819000.0
Total Expenses,1942220000.0,1639040000.0,1512929000.0,2087597000.0,1628964000.0
Rent Expense Supplemental,109460000.0,,99168000.0,101370000.0,
Diluted Average Shares,302914334.0,309890161.0,304802432.0,,313462665.0
Basic Average Shares,302914334.0,302907909.0,300457142.0,,304978632.0
Diluted EPS,1.033956,0.6464,0.013366,,0.1366
Basic EPS,1.033956,0.6613,0.013559,,0.1404
Diluted NI Availto Com Stockholders,313232000.0,200313000.0,4074000.0,254946000.0,42819000.0
Net Income Common Stockholders,313232000.0,200313000.0,4074000.0,254946000.0,42819000.0
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0,0.0
Net Income,313232000.0,200313000.0,4074000.0,254946000.0,42819000.0
Minority Interests,0.0,1000.0,2000.0,0.0,0.0
Net Income Including Noncontrolling Interests,313232000.0,200312000.0,4072000.0,254946000.0,42819000.0
Net Income Continuous Operations,313232000.0,200312000.0,4072000.0,254946000.0,42819000.0
Tax Provision,47767000.0,91882000.0,-7468000.0,51162000.0,-6990000.0
Pretax Income,360999000.0,292194000.0,-3396000.0,306108000.0,35829000.0
Special Income Charges,-38319000.0,-40153000.0,-25406000.0,-59616000.0,-42891000.0
Other Special Charges,0.0,,,,
Write Off,38319000.0,40153000.0,29640000.0,59616000.0,42891000.0
Impairment Of Capital Assets,,,-4234000.0,,
Net Non Operating Interest Income Expense,-138193000.0,-92349000.0,-89086000.0,-98257000.0,-97249000.0
Total Other Finance Cost,75970000.0,,22249000.0,-138656000.0,
Interest Expense Non Operating,87370000.0,150999000.0,112852000.0,124680000.0,129044000.0
Interest Income Non Operating,25147000.0,58650000.0,46015000.0,-112233000.0,31795000.0
Operating Income,529332000.0,419423000.0,99153000.0,464514000.0,170847000.0
Operating Expense,858319000.0,747454000.0,772845000.0,937380000.0,807662000.0
Other Operating Expenses,-77283000.0,-140792000.0,-6971000.0,10570000.0,5656000.0
Depreciation And Amortization In Income Statement,176470000.0,,169805000.0,167440000.0,
Depreciation Income Statement,176470000.0,,169805000.0,167440000.0,
Selling General And Administration,326879000.0,888246000.0,239222000.0,334016000.0,802006000.0
Selling And Marketing Expense,235539000.0,636834000.0,180558000.0,246600000.0,578020000.0
General And Administrative Expense,91340000.0,251412000.0,58664000.0,87416000.0,223986000.0
Rent And Landing Fees,109460000.0,,99168000.0,101370000.0,
Gross Profit,1387651000.0,1166877000.0,871998000.0,1401894000.0,978509000.0
Cost Of Revenue,1083901000.0,891586000.0,740084000.0,1150217000.0,821302000.0
Total Revenue,2471552000.0,2058463000.0,1612082000.0,2552112000.0,1799811000.0
Operating Revenue,2471552000.0,2058463000.0,1612082000.0,2552112000.0,1799811000.0
