,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31,2024-09-30,2024-06-30
Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0,0.0,,
Tax Rate For Calcs,0.111657,0.1096,0.111913,0.1089,0.118529,,
Total Unusual Items,,,,,0.0,,
Total Unusual Items Excluding Goodwill,,,,,0.0,,
Net Income From Continuing Operation Net Minority Interest,1071979000.0,1140754000.0,1028408000.0,1050419000.0,1166999000.0,,
EBIT,,,,1181814000.0,,1260116000.0,
Net Interest Income,57878000.0,50985000.0,45526000.0,27885000.0,36888000.0,,
Interest Expense,,,,450000.0,,0.0,
Interest Income,,,,,2558000.0,0.0,423000.0
Normalized Income,1071979000.0,1140754000.0,1028408000.0,1050419000.0,1166999000.0,,
Net Income From Continuing And Discontinued Operation,1071979000.0,1140754000.0,1028408000.0,1050419000.0,1166999000.0,,
Total Expenses,-584285000.0,-648505000.0,-572920000.0,-565976000.0,-657296000.0,,
Diluted Average Shares,2897297297.0,3000000000.0,3000000000.0,3000000000.0,3334285714.0,,
Basic Average Shares,2897297297.0,3000000000.0,3000000000.0,3000000000.0,3334285714.0,,
Diluted EPS,0.37,0.38025,0.3428,0.35014,0.35,,
Basic EPS,0.37,0.38025,0.3428,0.35014,0.35,,
Diluted NI Availto Com Stockholders,1071979000.0,1140754000.0,1028408000.0,1050419000.0,1166999000.0,,
Net Income Common Stockholders,1071979000.0,1140754000.0,1028408000.0,1050419000.0,1166999000.0,,
Net Income,1071979000.0,1140754000.0,1028408000.0,1050419000.0,1166999000.0,,
Net Income Including Noncontrolling Interests,1071979000.0,1140754000.0,1028408000.0,1050419000.0,1166999000.0,,
Net Income Continuous Operations,1071979000.0,1140754000.0,1028408000.0,1050419000.0,1166999000.0,,
Tax Provision,134738000.0,142950000.0,129596000.0,130945000.0,156923000.0,,
Pretax Income,1206717000.0,1283704000.0,1158004000.0,1181364000.0,1323922000.0,,
Other Income Expense,60846000.0,42755000.0,43266000.0,55911000.0,74959000.0,,
Special Income Charges,,,,,0.0,,
Other Special Charges,,,,,0.0,,
Net Non Operating Interest Income Expense,57878000.0,50985000.0,45526000.0,27885000.0,36888000.0,,
Total Other Finance Cost,-57349000.0,-50985000.0,-45526000.0,-28335000.0,-34330000.0,,
Interest Expense Non Operating,,,,450000.0,,0.0,
Interest Income Non Operating,,,,,2558000.0,0.0,423000.0
Other Operating Expenses,84771000.0,84477000.0,74323000.0,78175000.0,81675000.0,,
Selling General And Administration,11132000.0,11404000.0,7866000.0,6127000.0,6668000.0,,
General And Administrative Expense,11132000.0,11404000.0,7866000.0,6127000.0,6668000.0,,
Total Revenue,622432000.0,635199000.0,585084000.0,615388000.0,666626000.0,,
Operating Revenue,622432000.0,635199000.0,585084000.0,615388000.0,666626000.0,,
