,2025-12-31,2025-09-30,2025-06-30,2024-12-31,2024-09-30
Tax Effect Of Unusual Items,99584252.724141,529632807.719805,87447699.794476,83874600.0,55328353.862994
Tax Rate For Calcs,0.099518,0.333953,0.338269,0.34,0.345179
Normalized EBITDA,4321221000.0,2869525000.0,3509341000.0,2262221000.0,10143743000.0
Total Unusual Items,1000669000.0,1585951000.0,258515000.0,246690000.0,160289000.0
Total Unusual Items Excluding Goodwill,1000669000.0,1585951000.0,258515000.0,246690000.0,160289000.0
Net Income From Continuing Operation Net Minority Interest,2685440000.0,2158565000.0,2135962000.0,1434919000.0,6111883000.0
Reconciled Depreciation,546755000.0,535081000.0,55272000.0,520529000.0,592887000.0
Reconciled Cost Of Revenue,6867652000.0,5954826000.0,5215391000.0,4303529000.0,3438393000.0
EBITDA,5321890000.0,4455476000.0,3767856000.0,2508911000.0,10304032000.0
EBIT,4775135000.0,3920395000.0,3712584000.0,1988382000.0,9711145000.0
Net Interest Income,-1860044000.0,-784664000.0,-354384000.0,-760469000.0,-671446000.0
Interest Income,149869000.0,97649000.0,328267000.0,355781000.0,-114714000.0
Normalized Income,1784355252.724141,1102246807.719805,1964894699.794476,1272103600.0,6006922353.862994
Net Income From Continuing And Discontinued Operation,2685440000.0,2158565000.0,2135962000.0,1434919000.0,6111883000.0
Total Expenses,7451003000.0,6992771000.0,5653999000.0,6104221000.0,5160813000.0
Total Operating Income As Reported,,,,,9849409000.0
Diluted Average Shares,,3524534026.0,3524534032.0,,3524534026.0
Basic Average Shares,,3524534026.0,3524534032.0,,3524534026.0
Diluted EPS,,0.612816,0.605059,,1.733727
Basic EPS,,0.612816,0.605059,,1.733727
Diluted NI Availto Com Stockholders,2685440000.0,2158565000.0,2135962000.0,1434919000.0,6111883000.0
Net Income Common Stockholders,2685440000.0,2158565000.0,2135962000.0,1434919000.0,6111883000.0
Net Income,2685440000.0,2158565000.0,2135962000.0,1434919000.0,6111883000.0
Net Income Including Noncontrolling Interests,2685440000.0,2158565000.0,2135962000.0,1434919000.0,6111883000.0
Net Income Continuous Operations,2685440000.0,2158565000.0,2135962000.0,1434919000.0,6111883000.0
Tax Provision,296784000.0,1082294000.0,1091880000.0,-204303000.0,3221783000.0
Pretax Income,2982224000.0,3240859000.0,3227842000.0,1230616000.0,9333666000.0
Other Income Expense,1016842000.0,1593403000.0,271695000.0,256411000.0,169083000.0
Special Income Charges,238774000.0,1550234000.0,20304000.0,124648000.0,97734000.0
Other Special Charges,-238774000.0,-1550234000.0,-20304000.0,-124648000.0,-97734000.0
Earnings From Equity Interest,16173000.0,7452000.0,13180000.0,9721000.0,8794000.0
Gain On Sale Of Security,761895000.0,35717000.0,238211000.0,122042000.0,62555000.0
Net Non Operating Interest Income Expense,-1860044000.0,-784664000.0,-354384000.0,-760469000.0,-671446000.0
Total Other Finance Cost,217002000.0,202777000.0,197909000.0,358484000.0,179253000.0
Interest Expense Non Operating,1792911000.0,679536000.0,484742000.0,757766000.0,377479000.0
Interest Income Non Operating,149869000.0,97649000.0,328267000.0,355781000.0,-114714000.0
Operating Income,3825426000.0,2432120000.0,3310531000.0,1734674000.0,9836029000.0
Operating Expense,10835000.0,562284000.0,438608000.0,1329017000.0,1173416000.0
Other Operating Expenses,-281596000.0,54304000.0,-29315000.0,124659000.0,169685000.0
Other Taxes,63130000.0,112599000.0,46927000.0,48810000.0,35264000.0
Provision For Doubtful Accounts,90425000.0,-352449000.0,187392000.0,155311000.0,140315000.0
Depreciation Amortization Depletion Income Statement,-25761000.0,59420000.0,55272000.0,48854000.0,43883000.0
Depreciation And Amortization In Income Statement,-25761000.0,59420000.0,55272000.0,48854000.0,43883000.0
Selling General And Administration,164637000.0,688410000.0,178332000.0,951383000.0,784269000.0
Selling And Marketing Expense,109227000.0,82085000.0,102005000.0,111475000.0,98983000.0
General And Administrative Expense,55410000.0,606325000.0,76327000.0,839908000.0,685286000.0
Other Gand A,129637000.0,221792000.0,-147912000.0,429341000.0,484783000.0
Salaries And Wages,-74227000.0,384533000.0,224239000.0,410567000.0,200503000.0
Gross Profit,3836261000.0,2994404000.0,3749139000.0,3063691000.0,11009445000.0
Cost Of Revenue,7440168000.0,6430487000.0,5215391000.0,4775204000.0,3987397000.0
Total Revenue,11276429000.0,9424891000.0,8964530000.0,7838895000.0,14996842000.0
Excise Taxes,511006000.0,429528000.0,373892000.0,567035000.0,1269410000.0
Operating Revenue,13600204000.0,9700255000.0,9338422000.0,17620956000.0,7446405000.0
