,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31
Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0,0.0
Tax Rate For Calcs,0.037558,0.173564,0.092977,0.170453,0.114873
Net Income From Continuing Operation Net Minority Interest,4390529000.0,4337375000.0,4009226000.0,3209920000.0,3124045000.0
Reconciled Depreciation,301059000.0,262675000.0,265880000.0,312637000.0,302624000.0
Net Interest Income,7435242000.0,9350006000.0,7025699000.0,6863121000.0,6162190000.0
Interest Expense,18382867000.0,16235614000.0,16001818000.0,14052042000.0,10723605000.0
Interest Income,25818109000.0,25585620000.0,23027517000.0,20915163000.0,16885795000.0
Normalized Income,4390529000.0,4337375000.0,4009226000.0,3209920000.0,3124045000.0
Net Income From Continuing And Discontinued Operation,4390529000.0,4337375000.0,4009226000.0,3209920000.0,3124045000.0
Diluted NI Availto Com Stockholders,4390529000.0,4337375000.0,4009226000.0,3209920000.0,3124045000.0
Net Income Common Stockholders,4390529000.0,4337375000.0,4009226000.0,3209920000.0,3124045000.0
Net Income,4390529000.0,4337375000.0,4009226000.0,3209920000.0,3124045000.0
Minority Interests,-145736000.0,-296456000.0,-169731000.0,-201332000.0,-96061000.0
Net Income Including Noncontrolling Interests,4536265000.0,4633831000.0,4178957000.0,3411252000.0,3220106000.0
Net Income Continuous Operations,4536265000.0,4633831000.0,4178957000.0,3411252000.0,3220106000.0
Tax Provision,218329000.0,1181528000.0,529706000.0,845748000.0,521058000.0
Pretax Income,5813120000.0,6807455000.0,5697166000.0,4961769000.0,4535947000.0
Other Non Operating Income Expenses,19957000.0,1671000.0,28575000.0,-34262000.0,-11587000.0
Gain On Sale Of Security,1110383000.0,1120698000.0,1058953000.0,978432000.0,577755000.0
Operating Expense,7171787000.0,5793591000.0,5631384000.0,5051783000.0,6162612000.0
Other Operating Expenses,3142062000.0,1992726000.0,1964037000.0,1586577000.0,2896493000.0
Depreciation And Amortization In Income Statement,301059000.0,262675000.0,291043000.0,287474000.0,302624000.0
Amortization,0.0,0.0,0.0,0.0,0.0
Depreciation Income Statement,301059000.0,262675000.0,291043000.0,287474000.0,302624000.0
Selling General And Administration,2690953000.0,2413825000.0,2387203000.0,2122139000.0,1949136000.0
Selling And Marketing Expense,163170000.0,146447000.0,131283000.0,181881000.0,132282000.0
General And Administrative Expense,2527783000.0,2267378000.0,2255920000.0,1940258000.0,1816854000.0
Rent And Landing Fees,71786000.0,77275000.0,74006000.0,76824000.0,75529000.0
Total Revenue,13887159000.0,14022597000.0,12513904000.0,11543232000.0,9585795000.0
Operating Revenue,13887159000.0,14022597000.0,12513904000.0,11543232000.0,9585795000.0
