,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31,2024-09-30,2024-06-30
Tax Effect Of Unusual Items,-2509764400.0,54859000.0,166175000.0,28953380.0,412021860.0,,
Tax Rate For Calcs,0.34,0.34,0.34,0.34,0.34,,
Normalized EBITDA,8932519000.0,-2117972000.0,404866000.0,3039832000.0,2441549000.0,,
Total Unusual Items,-7381660000.0,161350000.0,488750000.0,85157000.0,1211829000.0,,
Total Unusual Items Excluding Goodwill,-7381660000.0,161350000.0,488750000.0,85157000.0,1211829000.0,,
Net Income From Continuing Operation Net Minority Interest,13685592000.0,-5449628000.0,-1324449000.0,-353039000.0,1107848000.0,,
Reconciled Depreciation,1177694000.0,1155625000.0,1131369000.0,1112231000.0,1032945000.0,,
Reconciled Cost Of Revenue,6720749000.0,5920366000.0,5315534000.0,5607758000.0,-9006627000.0,,
EBITDA,1550859000.0,-1956622000.0,893616000.0,3124989000.0,3653378000.0,,
EBIT,373165000.0,-3112247000.0,-237753000.0,2012758000.0,2620433000.0,,
Net Interest Income,-2739819000.0,-2654157000.0,-2964269000.0,-3496887000.0,-3339595000.0,,
Interest Expense,-584970000.0,2109683000.0,2189720000.0,2301438000.0,1556120000.0,,
Interest Income,-333000.0,37892000.0,-13366000.0,36798000.0,21794000.0,,
Normalized Income,18557487600.0,-5556119000.0,-1647024000.0,-409242620.0,308040860.0,,
Net Income From Continuing And Discontinued Operation,13685592000.0,-5449628000.0,-1324449000.0,-353039000.0,1107848000.0,,
Total Expenses,-299823000.0,18425009000.0,5696522000.0,7792286000.0,9400935000.0,,
Total Operating Income As Reported,,-3958971000.0,196687000.0,2704141000.0,,,2752856000.0
Diluted Average Shares,,,,2206493750.0,,,
Basic Average Shares,,,,2206493750.0,,,
Diluted EPS,,,,-0.16,,,
Basic EPS,,,,-0.16,,,
Diluted NI Availto Com Stockholders,13685592000.0,-5449628000.0,-1324449000.0,-353039000.0,1107848000.0,,
Net Income Common Stockholders,13685592000.0,-5449628000.0,-1324449000.0,-353039000.0,1107848000.0,,
Net Income,13685592000.0,-5449628000.0,-1324449000.0,-353039000.0,1107848000.0,,
Minority Interests,-906000.0,-1511000.0,656000.0,578000.0,-4419000.0,,
Net Income Including Noncontrolling Interests,13686498000.0,-5448117000.0,-1325105000.0,-353617000.0,1112267000.0,,
Net Income Discontinuous Operations,,0.0,0.0,0.0,0.0,,
Net Income Continuous Operations,13686498000.0,-5448117000.0,-1325105000.0,-353617000.0,1112267000.0,,
Tax Provision,-12728363000.0,226187000.0,-1102368000.0,64937000.0,-47954000.0,,
Pretax Income,958135000.0,-5221930000.0,-2427473000.0,-288680000.0,1064313000.0,,
Other Income Expense,-7267830000.0,5854733000.0,-3965636000.0,586314000.0,1779771000.0,,
Other Non Operating Income Expenses,,4428469000.0,-4328179000.0,133325000.0,89448000.0,6157989000.0,
Earnings From Equity Interest,347445000.0,1264914000.0,-126207000.0,367832000.0,478494000.0,,
Gain On Sale Of Security,505724000.0,161350000.0,488750000.0,85157000.0,512070000.0,,
Net Non Operating Interest Income Expense,-2739819000.0,-2654157000.0,-2964269000.0,-3496887000.0,-3339595000.0,,
Total Other Finance Cost,3324456000.0,582366000.0,761183000.0,1232247000.0,1805269000.0,,
Interest Expense Non Operating,-584970000.0,2109683000.0,2189720000.0,2301438000.0,1556120000.0,,
Interest Income Non Operating,-333000.0,37892000.0,-13366000.0,36798000.0,21794000.0,,
Operating Income,10965784000.0,-8422506000.0,4502432000.0,2621893000.0,2624137000.0,,
Operating Expense,-7020572000.0,12504643000.0,380988000.0,2184528000.0,18407562000.0,,
Other Operating Expenses,-11147555000.0,12426141000.0,301700000.0,2102280000.0,9761462000.0,,
Other Taxes,72341000.0,78502000.0,79288000.0,82248000.0,102685000.0,,
Gross Profit,3945212000.0,4082137000.0,4883420000.0,4806421000.0,21031699000.0,,
Cost Of Revenue,6720749000.0,5920366000.0,5315534000.0,5607758000.0,-9006627000.0,,
Total Revenue,10665960000.0,10002503000.0,10198954000.0,10414179000.0,12025072000.0,,
Operating Revenue,10665960000.0,10002503000.0,10198954000.0,10414179000.0,12025072000.0,,
