,2026-03-31,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31,2024-09-30
Tax Effect Of Unusual Items,-432668.329177,50592351.242528,-36602904.0,-47507698.0,-1017667.844523,,
Tax Rate For Calcs,0.216334,0.137526,0.102,0.139,0.254417,,
Normalized EBITDA,6212000000.0,5851575000.0,6365570000.0,5822821000.0,5707000000.0,,
Total Unusual Items,-2000000.0,367874000.0,-358852000.0,-341782000.0,-4000000.0,,
Total Unusual Items Excluding Goodwill,-2000000.0,367874000.0,-358852000.0,-341782000.0,-4000000.0,,
Net Income From Continuing Operation Net Minority Interest,1261000000.0,1876881000.0,1888359000.0,1344454000.0,1058000000.0,,
Reconciled Depreciation,3884000000.0,3822204000.0,3718264000.0,3688960000.0,3714976000.0,,
Reconciled Cost Of Revenue,2987000000.0,5547438000.0,5067659000.0,4977206000.0,2661024000.0,,
EBITDA,6210000000.0,6219449000.0,6006718000.0,5481039000.0,5703000000.0,,
EBIT,2326000000.0,2397245000.0,2288454000.0,1792079000.0,1988000000.0,,
Net Interest Income,-720000000.0,-480278000.0,-483618000.0,-560037000.0,-569000000.0,,
Interest Expense,,199789000.0,186187000.0,,746747000.0,-1264037000.0,154106000.0
Interest Income,,279063000.0,304475000.0,293031000.0,294856000.0,231312000.0,
Normalized Income,1262567331.670823,1559599351.242528,2210608096.0,1638728302.0,1060982332.155477,,
Net Income From Continuing And Discontinued Operation,1261000000.0,1876881000.0,1888359000.0,1344454000.0,1058000000.0,,
Total Expenses,13132000000.0,13285030000.0,12004940000.0,12401000000.0,12403000000.0,,
Rent Expense Supplemental,,279568000.0,373893000.0,393590000.0,325150000.0,354113000.0,
Total Operating Income As Reported,,2861102000.0,2768653000.0,2244555000.0,1984968000.0,2430732000.0,
Diluted Average Shares,2335185185.0,3181355932.0,3204964652.0,3200000000.0,3240083608.0,,
Basic Average Shares,2335185185.0,3181355932.0,3204964652.0,3226546452.0,3240083608.0,,
Diluted EPS,0.54,0.59,0.589198,0.42,0.65,,
Basic EPS,0.54,0.59,0.589198,0.416685,0.65,,
Diluted NI Availto Com Stockholders,1261000000.0,1876881000.0,1888359000.0,1344000000.0,1058000000.0,,
Net Income Common Stockholders,1261000000.0,1876881000.0,1888359000.0,1344454000.0,1058000000.0,,
Net Income,1261000000.0,1876881000.0,1888359000.0,1344454000.0,1058000000.0,,
Minority Interests,5000000.0,-18367000.0,1139000.0,5649000.0,2000000.0,,
Net Income Including Noncontrolling Interests,1257000000.0,1895248000.0,1887220000.0,1339000000.0,1056000000.0,,
Net Income Continuous Operations,1257000000.0,1895248000.0,1887220000.0,1338805000.0,1056000000.0,,
Tax Provision,347000000.0,302208000.0,215047000.0,217000000.0,360000000.0,,
Pretax Income,1604000000.0,2197456000.0,2102267000.0,1555450000.0,1415000000.0,,
Other Income Expense,-2000000.0,352185000.0,-358231000.0,-341237000.0,-4000000.0,,
Special Income Charges,,380612000.0,-387651000.0,-212714000.0,-182220000.0,524605000.0,
Other Special Charges,,-380612000.0,387651000.0,212714000.0,182220000.0,-524605000.0,
Write Off,,,,,384057000.0,380569000.0,360007000.0
Earnings From Equity Interest,,-15689000.0,621000.0,545000.0,-3704000.0,-6724000.0,
Gain On Sale Of Security,-2000000.0,-12738000.0,28799000.0,-129068000.0,-4000000.0,,
Net Non Operating Interest Income Expense,-720000000.0,-480278000.0,-483618000.0,-560037000.0,-569000000.0,,
Total Other Finance Cost,720000000.0,559552000.0,601906000.0,616439000.0,569000000.0,,
Interest Expense Non Operating,,199789000.0,186187000.0,,746747000.0,-1264037000.0,154106000.0
Interest Income Non Operating,,279063000.0,304475000.0,,294856000.0,231312000.0,227190000.0
Operating Income,2326000000.0,2325549000.0,2944116000.0,2456724000.0,1988000000.0,,
Operating Expense,10145000000.0,4566083000.0,3860778000.0,4161991000.0,9742000000.0,,
Other Operating Expenses,3804000000.0,206974000.0,-391822000.0,-95977000.0,3764000000.0,,
Other Taxes,,20246000.0,23159000.0,,25162000.0,20932000.0,18267000.0
Provision For Doubtful Accounts,435000000.0,396711000.0,397482000.0,403087000.0,384000000.0,,
Depreciation Amortization Depletion Income Statement,3884000000.0,650695000.0,641761000.0,639789000.0,3715000000.0,,
Depreciation And Amortization In Income Statement,3884000000.0,650695000.0,641761000.0,639789000.0,3715000000.0,,
Amortization,826000000.0,,,749000000.0,741000000.0,,730000000.0
Amortization Of Intangibles Income Statement,826000000.0,,,749000000.0,741000000.0,,730000000.0
Depreciation Income Statement,3057000000.0,,,2940000000.0,2973000000.0,,2931000000.0
Selling General And Administration,2022000000.0,3291457000.0,3190198000.0,3189650000.0,1879000000.0,,
Selling And Marketing Expense,,1604659000.0,1617941000.0,1567709000.0,1658284000.0,1621311000.0,
General And Administrative Expense,2022000000.0,1686798000.0,1572257000.0,1621941000.0,1879000000.0,,
Other Gand A,354000000.0,382927000.0,329503000.0,319679000.0,331000000.0,,
Rent And Landing Fees,,33914000.0,30934000.0,,31983000.0,33408000.0,28360000.0
Salaries And Wages,1668000000.0,1269957000.0,1211820000.0,1633000000.0,1548000000.0,,
Gross Profit,12471000000.0,6891632000.0,6804894000.0,6618715000.0,11730000000.0,,
Cost Of Revenue,2987000000.0,8718947000.0,8144162000.0,8026377000.0,2661000000.0,,
Total Revenue,15458000000.0,15610579000.0,14949056000.0,14645092000.0,14391000000.0,,
Excise Taxes,,3048891000.0,2862978000.0,,2821503000.0,2777510000.0,2721607000.0
Operating Revenue,14532000000.0,21757696000.0,20558982000.0,14645092000.0,13392000000.0,,
