,2025-12-31,2025-06-30,2025-03-31,2024-12-31,2024-09-30
Tax Effect Of Unusual Items,35352259.620162,0.0,-163726441.841231,-310402984.940672,0.0
Tax Rate For Calcs,0.202506,0.126701,0.206557,0.1807,0.23416
Normalized EBITDA,2879893000.0,5423867000.0,3831358000.0,4446134000.0,4657256000.0
Total Unusual Items,174574000.0,,-792646000.0,-1717784000.0,
Total Unusual Items Excluding Goodwill,174574000.0,,-792646000.0,-1717784000.0,
Net Income From Continuing Operation Net Minority Interest,1172444000.0,1001592000.0,1040489000.0,925025000.0,1145677000.0
Reconciled Depreciation,-512584000.0,474425000.0,449987000.0,434697000.0,404637000.0
Reconciled Cost Of Revenue,11192244000.0,11041151000.0,10259364000.0,10450655000.0,10580670000.0
EBITDA,3054467000.0,5423867000.0,3038712000.0,2728350000.0,4657256000.0
EBIT,2991671000.0,4949442000.0,2588725000.0,2293653000.0,4252619000.0
Net Interest Income,3180299000.0,-1071744000.0,-760745000.0,2188564000.0,-661725000.0
Interest Expense,1498297000.0,3749668000.0,1244233000.0,1152699000.0,2727092000.0
Interest Income,,2677924000.0,1221455000.0,,2065367000.0
Normalized Income,1033222259.620162,1001592000.0,1669408558.158769,2332406015.059328,1145677000.0
Net Income From Continuing And Discontinued Operation,1172444000.0,1001592000.0,1040489000.0,925025000.0,1145677000.0
Total Expenses,11881060000.0,11704727000.0,10727178000.0,11104316000.0,10855884000.0
Rent Expense Supplemental,112408000.0,,36402000.0,120805000.0,
Diluted Average Shares,,2204692934.0,2208668408.0,2220119596.0,2286780439.0
Basic Average Shares,,2204692934.0,2208668408.0,2220119596.0,2286780439.0
Diluted EPS,,0.4543,0.471098,0.416644,0.501
Basic EPS,,0.4543,0.471098,0.416644,0.501
Diluted NI Availto Com Stockholders,1172444000.0,1001592000.0,1040489000.0,925025000.0,1145677000.0
Net Income Common Stockholders,1172444000.0,1001592000.0,1040489000.0,925025000.0,1145677000.0
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0,0.0
Net Income,1172444000.0,1001592000.0,1040489000.0,925025000.0,1145677000.0
Minority Interests,-18513000.0,-46169000.0,-26289000.0,-9759000.0,-22633000.0
Net Income Including Noncontrolling Interests,1190957000.0,1047761000.0,1066778000.0,934784000.0,1168310000.0
Net Income Continuous Operations,1190957000.0,1047761000.0,1066778000.0,934784000.0,1168310000.0
Tax Provision,302417000.0,152013000.0,277714000.0,206170000.0,357217000.0
Pretax Income,1493374000.0,1199774000.0,1344492000.0,1140954000.0,1525527000.0
Special Income Charges,86848000.0,,-64693000.0,-86660000.0,
Other Special Charges,-86848000.0,,64693000.0,86660000.0,
Net Non Operating Interest Income Expense,3180299000.0,-1071744000.0,-760745000.0,2188564000.0,-661725000.0
Total Other Finance Cost,803926000.0,,737967000.0,389536000.0,
Interest Expense Non Operating,1498297000.0,3749668000.0,1244233000.0,1152699000.0,2727092000.0
Interest Income Non Operating,,2677924000.0,1221455000.0,,2065367000.0
Operating Income,2495376000.0,2256120000.0,2245854000.0,1744648000.0,2167276000.0
Operating Expense,688816000.0,663576000.0,467814000.0,653661000.0,275214000.0
Other Operating Expenses,123030000.0,121670000.0,74285000.0,183657000.0,-241562000.0
Depreciation And Amortization In Income Statement,62796000.0,,80582000.0,78104000.0,
Depreciation Income Statement,62796000.0,,80582000.0,78104000.0,
Selling General And Administration,234002000.0,541906000.0,131291000.0,155119000.0,516776000.0
Selling And Marketing Expense,90067000.0,-28971000.0,31903000.0,53407000.0,4159000.0
General And Administrative Expense,143935000.0,570877000.0,99388000.0,101712000.0,512617000.0
Rent And Landing Fees,18025000.0,,11428000.0,18302000.0,
Gross Profit,3184192000.0,2919696000.0,2713668000.0,2398309000.0,2442490000.0
Cost Of Revenue,11192244000.0,11041151000.0,10259364000.0,10450655000.0,10580670000.0
Total Revenue,14376436000.0,13960847000.0,12973032000.0,12848964000.0,13023160000.0
Operating Revenue,14376436000.0,13960847000.0,12973032000.0,12848964000.0,13023160000.0
